Time(Local),Production,Consumption
31.12.2021 23:00:00 +01:00,13572.32,16332.18
01.01.2022 00:00:00 +01:00,13502.26,16471.17
01.01.2022 01:00:00 +01:00,13387.47,16460.71
01.01.2022 02:00:00 +01:00,13552.93,16355.53
01.01.2022 03:00:00 +01:00,12573.38,16277.53
01.01.2022 04:00:00 +01:00,12255.01,16266.45
01.01.2022 05:00:00 +01:00,12410.65,16355.62
01.01.2022 06:00:00 +01:00,12418.55,16576.79
01.01.2022 07:00:00 +01:00,12554.84,16795.66
01.01.2022 08:00:00 +01:00,13137.08,17134.27
01.01.2022 09:00:00 +01:00,13955.27,17428.09
01.01.2022 10:00:00 +01:00,14590.10,17765.65
01.01.2022 11:00:00 +01:00,15003.13,18016.17
01.01.2022 12:00:00 +01:00,15069.52,18111.16
01.01.2022 13:00:00 +01:00,14936.45,18101.30
01.01.2022 14:00:00 +01:00,15660.55,18283.80
01.01.2022 15:00:00 +01:00,16068.33,18446.33
01.01.2022 16:00:00 +01:00,16685.47,18675.33
01.01.2022 17:00:00 +01:00,17874.30,18647.02
01.01.2022 18:00:00 +01:00,17966.12,18438.63
01.01.2022 19:00:00 +01:00,16324.31,18152.02
01.01.2022 20:00:00 +01:00,15051.12,17802.88
01.01.2022 21:00:00 +01:00,14389.57,17482.15
01.01.2022 22:00:00 +01:00,13724.62,17081.24
01.01.2022 23:00:00 +01:00,13299.41,16706.63
02.01.2022 00:00:00 +01:00,13329.76,16299.86
02.01.2022 01:00:00 +01:00,13394.77,15939.52
02.01.2022 02:00:00 +01:00,13018.32,15710.34
02.01.2022 03:00:00 +01:00,12712.73,15671.61
02.01.2022 04:00:00 +01:00,12255.15,15580.21
02.01.2022 05:00:00 +01:00,11973.36,15589.71
02.01.2022 06:00:00 +01:00,11980.79,15717.76
02.01.2022 07:00:00 +01:00,12819.72,15918.04
02.01.2022 08:00:00 +01:00,13262.73,16268.11
02.01.2022 09:00:00 +01:00,13560.16,16667.34
02.01.2022 10:00:00 +01:00,14344.20,17011.75
02.01.2022 11:00:00 +01:00,15210.32,17314.48
02.01.2022 12:00:00 +01:00,15000.39,17375.69
02.01.2022 13:00:00 +01:00,15243.63,17248.55
02.01.2022 14:00:00 +01:00,15915.05,17574.95
02.01.2022 15:00:00 +01:00,16127.89,17824.70
02.01.2022 16:00:00 +01:00,16480.87,18032.01
02.01.2022 17:00:00 +01:00,16756.49,17995.10
02.01.2022 18:00:00 +01:00,17036.37,17855.30
02.01.2022 19:00:00 +01:00,16359.23,17618.80
02.01.2022 20:00:00 +01:00,14638.89,17449.12
02.01.2022 21:00:00 +01:00,14418.06,17294.22
02.01.2022 22:00:00 +01:00,14577.93,16941.28
02.01.2022 23:00:00 +01:00,13404.38,16511.28
03.01.2022 00:00:00 +01:00,12133.30,16118.00
03.01.2022 01:00:00 +01:00,11789.40,15803.36
03.01.2022 02:00:00 +01:00,11565.80,15630.91
03.01.2022 03:00:00 +01:00,11700.41,15550.31
03.01.2022 04:00:00 +01:00,11903.04,15624.71
03.01.2022 05:00:00 +01:00,13103.45,15986.40
03.01.2022 06:00:00 +01:00,15182.71,16981.35
03.01.2022 07:00:00 +01:00,16783.85,18206.27
03.01.2022 08:00:00 +01:00,17769.66,18833.24
03.01.2022 09:00:00 +01:00,18225.64,19015.60
03.01.2022 10:00:00 +01:00,17831.54,19019.72
03.01.2022 11:00:00 +01:00,18347.52,19036.75
03.01.2022 12:00:00 +01:00,18724.40,19033.35
03.01.2022 13:00:00 +01:00,18842.69,19096.83
03.01.2022 14:00:00 +01:00,19199.57,19133.52
03.01.2022 15:00:00 +01:00,19260.36,19195.79
03.01.2022 16:00:00 +01:00,19406.88,19287.45
03.01.2022 17:00:00 +01:00,20061.17,19058.52
03.01.2022 18:00:00 +01:00,19996.31,18815.75
03.01.2022 19:00:00 +01:00,19750.73,18640.86
03.01.2022 20:00:00 +01:00,19387.99,18521.32
03.01.2022 21:00:00 +01:00,18623.38,18284.40
03.01.2022 22:00:00 +01:00,17946.45,17897.16
03.01.2022 23:00:00 +01:00,16553.45,17425.30
04.01.2022 00:00:00 +01:00,16756.68,16970.57
04.01.2022 01:00:00 +01:00,16721.39,16682.45
04.01.2022 02:00:00 +01:00,16665.56,16578.10
04.01.2022 03:00:00 +01:00,15885.36,16591.27
04.01.2022 04:00:00 +01:00,16016.45,16661.36
04.01.2022 05:00:00 +01:00,17458.57,17000.07
04.01.2022 06:00:00 +01:00,20982.32,18138.94
04.01.2022 07:00:00 +01:00,24026.40,19500.86
04.01.2022 08:00:00 +01:00,26105.57,20022.56
04.01.2022 09:00:00 +01:00,25569.93,20088.26
04.01.2022 10:00:00 +01:00,25583.37,19319.53
04.01.2022 11:00:00 +01:00,25302.27,19810.10
04.01.2022 12:00:00 +01:00,24865.50,19695.96
04.01.2022 13:00:00 +01:00,24390.46,19620.21
04.01.2022 14:00:00 +01:00,24382.48,19708.55
04.01.2022 15:00:00 +01:00,24824.30,20016.15
04.01.2022 16:00:00 +01:00,25557.93,20234.33
04.01.2022 17:00:00 +01:00,26004.99,20011.26
04.01.2022 18:00:00 +01:00,25317.15,19739.46
04.01.2022 19:00:00 +01:00,23630.67,19587.04
04.01.2022 20:00:00 +01:00,21801.38,19351.76
04.01.2022 21:00:00 +01:00,20064.67,19010.83
04.01.2022 22:00:00 +01:00,18384.84,18498.73
04.01.2022 23:00:00 +01:00,16465.73,17925.49
