Time(Local),Import,Export,Flow from NO
01.01.2026 00:00:00 +01:00,2930.10,1372.15,-1557.94
01.01.2026 01:00:00 +01:00,4636.87,1239.75,-3397.12
01.01.2026 02:00:00 +01:00,4962.29,993.78,-3968.51
01.01.2026 03:00:00 +01:00,5321.82,452.79,-4869.03
01.01.2026 04:00:00 +01:00,5417.10,33.26,-5383.84
01.01.2026 05:00:00 +01:00,5534.28,0.00,-5534.28
01.01.2026 06:00:00 +01:00,5602.02,6.59,-5595.43
01.01.2026 07:00:00 +01:00,5743.07,149.72,-5593.35
01.01.2026 08:00:00 +01:00,5676.92,125.24,-5551.68
01.01.2026 09:00:00 +01:00,5452.46,49.30,-5403.16
01.01.2026 10:00:00 +01:00,5308.01,0.00,-5308.01
01.01.2026 11:00:00 +01:00,4839.95,44.36,-4795.60
01.01.2026 12:00:00 +01:00,4797.06,14.02,-4783.04
01.01.2026 13:00:00 +01:00,4836.10,79.83,-4756.27
01.01.2026 14:00:00 +01:00,4883.99,397.98,-4486.01
01.01.2026 15:00:00 +01:00,4703.03,898.32,-3804.71
01.01.2026 16:00:00 +01:00,4839.06,1605.08,-3233.99
01.01.2026 17:00:00 +01:00,4756.61,2065.21,-2691.40
01.01.2026 18:00:00 +01:00,4076.31,2102.72,-1973.59
01.01.2026 19:00:00 +01:00,4049.94,2084.54,-1965.41
01.01.2026 20:00:00 +01:00,3836.39,1864.09,-1972.30
01.01.2026 21:00:00 +01:00,3840.86,1498.32,-2342.54
01.01.2026 22:00:00 +01:00,4082.19,1298.30,-2783.89
01.01.2026 23:00:00 +01:00,4292.52,743.56,-3548.96
02.01.2026 00:00:00 +01:00,4657.36,250.24,-4407.12
02.01.2026 01:00:00 +01:00,5163.49,21.89,-5141.60
02.01.2026 02:00:00 +01:00,6122.67,17.33,-6105.33
02.01.2026 03:00:00 +01:00,6060.78,21.44,-6039.34
02.01.2026 04:00:00 +01:00,6340.45,17.41,-6323.04
02.01.2026 05:00:00 +01:00,6511.90,22.26,-6489.63
02.01.2026 06:00:00 +01:00,5775.50,28.70,-5746.80
02.01.2026 07:00:00 +01:00,4526.94,159.87,-4367.07
02.01.2026 08:00:00 +01:00,3438.34,1024.01,-2414.34
02.01.2026 09:00:00 +01:00,3128.06,1473.61,-1654.45
02.01.2026 10:00:00 +01:00,3475.44,1678.33,-1797.11
02.01.2026 11:00:00 +01:00,4220.96,1482.37,-2738.59
02.01.2026 12:00:00 +01:00,3685.10,1480.77,-2204.33
02.01.2026 13:00:00 +01:00,3618.75,1476.01,-2142.74
02.01.2026 14:00:00 +01:00,2909.62,1720.43,-1189.20
02.01.2026 15:00:00 +01:00,2117.28,2874.09,756.80
02.01.2026 16:00:00 +01:00,2082.36,3617.98,1535.63
02.01.2026 17:00:00 +01:00,2153.81,3997.48,1843.67
02.01.2026 18:00:00 +01:00,2415.51,4576.46,2160.95
02.01.2026 19:00:00 +01:00,2644.26,4513.05,1868.79
02.01.2026 20:00:00 +01:00,2867.76,4275.40,1407.65
02.01.2026 21:00:00 +01:00,2503.75,4274.81,1771.06
02.01.2026 22:00:00 +01:00,2907.07,4194.72,1287.65
02.01.2026 23:00:00 +01:00,3126.66,3897.58,770.92
03.01.2026 00:00:00 +01:00,2225.28,3775.11,1549.83
03.01.2026 01:00:00 +01:00,2172.37,3462.81,1290.44
03.01.2026 02:00:00 +01:00,2366.32,3121.10,754.78
03.01.2026 03:00:00 +01:00,2378.03,2777.64,399.61
03.01.2026 04:00:00 +01:00,2256.96,2121.97,-134.99
03.01.2026 05:00:00 +01:00,2150.12,2277.32,127.20
03.01.2026 06:00:00 +01:00,2339.43,2474.62,135.19
03.01.2026 07:00:00 +01:00,2034.77,3125.41,1090.64
03.01.2026 08:00:00 +01:00,1913.02,4056.48,2143.46
03.01.2026 09:00:00 +01:00,1926.57,3740.78,1814.21
03.01.2026 10:00:00 +01:00,1767.91,3661.02,1893.11
03.01.2026 11:00:00 +01:00,1666.16,3303.77,1637.61
03.01.2026 12:00:00 +01:00,1663.04,3042.06,1379.02
03.01.2026 13:00:00 +01:00,1548.94,2790.43,1241.48
03.01.2026 14:00:00 +01:00,1610.34,3452.30,1841.96
03.01.2026 15:00:00 +01:00,1557.73,3334.16,1776.43
03.01.2026 16:00:00 +01:00,1509.36,2926.54,1417.19
03.01.2026 17:00:00 +01:00,1905.69,3284.80,1379.12
03.01.2026 18:00:00 +01:00,1509.23,3018.71,1509.48
03.01.2026 19:00:00 +01:00,1439.49,3251.50,1812.01
03.01.2026 20:00:00 +01:00,1475.32,3630.16,2154.84
03.01.2026 21:00:00 +01:00,1164.45,3842.42,2677.97
03.01.2026 22:00:00 +01:00,1161.88,3965.56,2803.68
03.01.2026 23:00:00 +01:00,1232.78,3702.99,2470.21
04.01.2026 00:00:00 +01:00,1141.62,3392.43,2250.82
04.01.2026 01:00:00 +01:00,1176.74,3424.16,2247.41
04.01.2026 02:00:00 +01:00,1264.43,3478.42,2213.99
04.01.2026 03:00:00 +01:00,1347.72,3210.84,1863.13
04.01.2026 04:00:00 +01:00,1266.11,2811.51,1545.40
04.01.2026 05:00:00 +01:00,1199.30,3080.36,1881.06
04.01.2026 06:00:00 +01:00,1157.51,2936.86,1779.36
04.01.2026 07:00:00 +01:00,774.01,2936.76,2162.75
04.01.2026 08:00:00 +01:00,500.35,2422.06,1921.71
04.01.2026 09:00:00 +01:00,10.44,2384.56,2374.11
04.01.2026 10:00:00 +01:00,272.72,2191.64,1918.93
04.01.2026 11:00:00 +01:00,186.24,1706.22,1519.98
04.01.2026 12:00:00 +01:00,582.12,1859.72,1277.60
04.01.2026 13:00:00 +01:00,739.18,1723.36,984.19
04.01.2026 14:00:00 +01:00,108.99,1254.39,1145.40
04.01.2026 15:00:00 +01:00,19.00,1048.05,1029.05
04.01.2026 16:00:00 +01:00,44.46,1187.13,1142.67
04.01.2026 17:00:00 +01:00,0.00,1751.64,1751.64
04.01.2026 18:00:00 +01:00,89.11,1972.19,1883.08
04.01.2026 19:00:00 +01:00,7.12,2541.72,2534.60
04.01.2026 20:00:00 +01:00,0.00,3146.70,3146.70
04.01.2026 21:00:00 +01:00,0.00,3814.88,3814.88
04.01.2026 22:00:00 +01:00,0.00,3712.94,3712.94
04.01.2026 23:00:00 +01:00,0.00,3118.55,3118.55
05.01.2026 00:00:00 +01:00,27.47,3264.25,3236.78
05.01.2026 01:00:00 +01:00,160.03,3238.70,3078.67
05.01.2026 02:00:00 +01:00,100.44,3652.20,3551.76
05.01.2026 03:00:00 +01:00,64.50,3667.12,3602.62
05.01.2026 04:00:00 +01:00,25.59,3695.06,3669.47
05.01.2026 05:00:00 +01:00,601.62,3671.73,3070.10
05.01.2026 06:00:00 +01:00,1277.57,3481.16,2203.58
05.01.2026 07:00:00 +01:00,928.80,3204.23,2275.42
05.01.2026 08:00:00 +01:00,555.24,2127.74,1572.50
05.01.2026 09:00:00 +01:00,114.51,1922.36,1807.84
05.01.2026 10:00:00 +01:00,253.19,1999.98,1746.79
05.01.2026 11:00:00 +01:00,755.58,2407.99,1652.41
05.01.2026 12:00:00 +01:00,652.16,2015.89,1363.73
05.01.2026 13:00:00 +01:00,441.91,1938.66,1496.75
05.01.2026 14:00:00 +01:00,598.20,2191.50,1593.30
05.01.2026 15:00:00 +01:00,224.37,1668.76,1444.40
05.01.2026 16:00:00 +01:00,180.72,1791.01,1610.28
05.01.2026 17:00:00 +01:00,166.14,2129.96,1963.83
05.01.2026 18:00:00 +01:00,177.84,2637.04,2459.20
05.01.2026 19:00:00 +01:00,217.56,3588.74,3371.18
05.01.2026 20:00:00 +01:00,368.47,3578.70,3210.24
05.01.2026 21:00:00 +01:00,42.39,3224.47,3182.08
05.01.2026 22:00:00 +01:00,378.26,3850.19,3471.93
05.01.2026 23:00:00 +01:00,640.56,3873.04,3232.47
06.01.2026 00:00:00 +01:00,562.55,4981.06,4418.51
06.01.2026 01:00:00 +01:00,563.96,4986.80,4422.83
06.01.2026 02:00:00 +01:00,108.97,4952.21,4843.24
06.01.2026 03:00:00 +01:00,59.44,4909.19,4849.75
06.01.2026 04:00:00 +01:00,206.61,4683.25,4476.64
06.01.2026 05:00:00 +01:00,790.69,4694.18,3903.48
06.01.2026 06:00:00 +01:00,1071.77,4733.54,3661.77
06.01.2026 07:00:00 +01:00,1320.47,4245.41,2924.94
06.01.2026 08:00:00 +01:00,904.98,3683.34,2778.37
06.01.2026 09:00:00 +01:00,453.75,3517.58,3063.83
06.01.2026 10:00:00 +01:00,19.22,3313.12,3293.91
06.01.2026 11:00:00 +01:00,0.00,3098.58,3098.58
06.01.2026 12:00:00 +01:00,0.00,3521.21,3521.21
