modell,term,koef,se,p,pst,N,klustre
D2 felles sesongprofil,bestilt_post,0.043336447909332866,0.01118152600897084,0.00010631050505633675,4.428918466485654,837,27
D2e sesongprofil per EAC,bestilt_post,0.04333644975766727,0.011376851422920565,0.00013942967583868596,4.42891865950521,837,27
D2ep sesongprofil per EAC × område,bestilt_post,0.043336427869814745,0.012030573028476722,0.00031554577145438803,4.428916373780467,837,27
D2e tidlig/sent,tidlig_post,0.04565899305807803,0.012306233460752452,0.000207068610750926,4.671741218708081,837,27
D2e tidlig/sent,sent_post,0.04035708191025584,0.01283927905244891,0.0016708227022123722,4.118249525533546,837,27
D7 område×måned×EAC-FE + sesong per EAC,bestilt_post,0.029880493831513134,0.0028396513037476263,6.797689533157088e-26,3.0331395638404812,837,27
D7 tidlig/sent,tidlig_post,0.03094415044645852,0.0029866057385466186,3.731348513811052e-25,3.1427897490306833,837,27
D7 tidlig/sent,sent_post,0.028610176711826203,0.003201503606696982,4.017595275437607e-19,2.9023379001434035,837,27
D7 placebo okt 2024,bestilt_post,-0.001899285898546231,0.0012443358243191492,0.12692394028430068,-0.1897483396420263,648,27
D2e placebo okt 2024,bestilt_post,0.008111686065689863,0.007467407096893261,0.27735566076229656,0.8144674929210449,648,27
D6 kun Husholdning Høy,bestilt_post,0.023907689202083526,0.0026479372560885275,1.7356856433092533e-19,2.4195769198078754,279,9
D6 kun Husholdning Lav,bestilt_post,0.03830895488892205,0.004396699622894503,2.9563323008181397e-18,3.905220355134764,279,9
D6 kun Husholdning Medium,bestilt_post,0.02556656447096639,0.0029673522451205483,6.936282261913399e-18,2.589619223501227,279,9
