pa,maned,dose,dose_U,dose_L
NO1,2025-10,0.23005854210310883,0.407085373805687,0.0
NO1,2025-11,0.48123300136291075,0.848425747318062,0.09870547395006776
NO1,2025-12,0.646181866072641,1.0,0.3739237587426962
NO1,2026-01,0.7842267908878571,1.0,0.6181923231987551
NO1,2026-02,0.8913577325698272,1.0,0.8077590267085691
NO1,2026-03,0.9532967509317856,1.0,0.9173592537313691
NO1,2026-04,0.987010877114575,1.0,0.9770159286550144
NO2,2025-10,0.2587695369926057,0.4057514354392513,0.010412381943268247
NO2,2025-11,0.5215785719674368,0.817836816225357,0.24983371912646757
NO2,2025-12,0.6857525056531092,0.9996805076078475,0.5072589556085094
NO2,2026-01,0.8109215015932244,1.0,0.7035243289033685
NO2,2026-02,0.9068232487118667,1.0,0.853898565402594
NO2,2026-03,0.9603477616209806,1.0,0.9378251674147939
NO2,2026-04,0.9898775109904052,1.0,0.9841279058826059
NO5,2025-10,0.1745634020136475,0.2893681863973462,0.0
NO5,2025-11,0.40731958799923834,0.6752006955858881,0.06253186116867958
NO5,2025-12,0.5949202318416923,0.967061295624771,0.32851218235846036
NO5,2026-01,0.7632721233346069,1.0,0.6075837457899457
NO5,2026-02,0.8822529065515389,1.0,0.8048143969944156
NO5,2026-03,0.9461925206682398,1.0,0.9108050569063334
NO5,2026-04,0.9860419832656127,1.0,0.9768622406441315
