modell,term,koef,se,p_t,klustre,n,pst,ki95_lav,ki95_hoy
"E1 K, dose kohort sist",tidlig_post,0.03150075331893146,0.0032136049478535276,3.2077791706769554e-10,27,837,3.200215302211218,0.024893581546144603,0.03810792509171831
"E1 K, dose kohort sist",sent_post,0.019370881389039907,0.0049414083880240335,0.0005756006728775272,27,837,1.9559714227346925,0.009211345743262494,0.02953041703481732
"E1 K, dose kohort sist",sent_dose,0.015443786910016492,0.006350330778402572,0.022209502078353892,27,837,1.556365848241681,0.0023875068296208037,0.02850006699041218
"E4 K, dose kohort sist",tidlig_post,0.02782459358553706,0.003667529188836386,4.712184299777223e-08,27,837,2.8215313041382473,0.02028415357328945,0.03536503359778467
"E4 K, dose kohort sist",sent_dose,0.0372384383598954,0.004489516358826823,8.920488285922994e-09,27,837,3.7940476160368775,0.02800799272614745,0.046468883993643344
"E1 K, dose identisk",tidlig_post,0.03148292855883259,0.003218989119059275,3.35963044819165e-10,27,837,3.19837579952571,0.024864686930046724,0.03810117018761846
"E1 K, dose identisk",sent_post,0.013102164999851978,0.0075618199945257526,0.09500167525035823,27,837,1.3188374462444585,-0.0024449369088929696,0.028649266908596926
"E1 K, dose identisk",sent_dose,0.020923247601493115,0.009153337228789882,0.030657420668667893,27,837,2.114367340355461,0.0021039862591011177,0.03974250894388511
"E4 K, dose identisk",tidlig_post,0.030436195817119194,0.0031945068819297165,5.749941833327327e-10,27,837,3.090411195585263,0.023868289667871696,0.03700410196636669
"E4 K, dose identisk",sent_dose,0.03642033984518202,0.0034289417272504105,5.953529217835695e-11,27,837,3.7091685842850497,0.029370435653955175,0.04347024403640886
"E1 K, dose kohort først",tidlig_post,0.03145780553136194,0.0032256814812398355,3.564897329924236e-10,27,837,3.195783176462985,0.024825804405932836,0.03808980665679104
"E1 K, dose kohort først",sent_post,0.010878942851667826,0.009114329185167549,0.24340868072296257,27,837,1.0938333725033944,-0.007860117953036656,0.029618003656372308
"E1 K, dose kohort først",sent_dose,0.01936316779058218,0.009283502027424518,0.04695670825754232,27,837,1.9551849783439268,0.0002762876221973701,0.03845004795896699
"E4 K, dose kohort først",tidlig_post,0.0310272345075759,0.0031721659720789466,3.354596878115237e-10,27,837,3.151359626883221,0.024505261268981584,0.03754920774617021
"E4 K, dose kohort først",sent_dose,0.030705194690149644,0.0028785407223030092,5.4352204324629007e-11,27,837,3.1181461301829527,0.024786914965094657,0.03662347441520463
