modell,term,koef,se,p_t,klustre,n,pst,ki95_lav,ki95_hoy
E0 felles sesong,tidlig_post,0.03094415044645852,0.0029866057385466186,1.0079552706121781e-10,27,837,3.1427897490306833,0.024803689048006672,0.03708461184491037
E0 felles sesong,sent_post,0.028610176711826203,0.003201503606696982,2.087662336793942e-09,27,837,2.9023379001434035,0.02202788529645721,0.035192468127195196
E1 felles sesong,tidlig_post,0.03099973161872776,0.0029627800989853897,8.192166147631307e-11,27,837,3.1485227055167986,0.024908255735213797,0.03709120750224172
E1 felles sesong,sent_post,0.009091422707472287,0.005095275586562995,0.0860531832175295,27,837,0.9132875216425473,-0.0013844638985012307,0.019567309313445806
E1 felles sesong,sent_dose,0.027381034953168674,0.005846945090106211,7.761430312716923e-05,27,837,2.775934039612693,0.015359715847910306,0.03940235405842704
"E4 felles sesong, sent kun via dose",tidlig_post,0.029972998512034502,0.002754390710348147,3.54569251932914e-11,27,837,3.042671052345791,0.02430997121155871,0.03563602581251029
"E4 felles sesong, sent kun via dose",sent_dose,0.037580820639525586,0.003921621226242161,5.10831195577324e-10,27,837,3.82959094302715,0.029517967398371703,0.04564367388067947
E0 sesong per kohort,tidlig_post,0.031440441412723376,0.003219994075203779,3.4768703974943077e-10,27,837,3.193991288198239,0.024820133594104406,0.038060749231342346
E0 sesong per kohort,sent_post,0.02801745964995812,0.002784630755859435,1.8658185222510226e-10,27,837,2.841364000684221,0.022292258815911122,0.03374266048400512
E1 sesong per kohort,tidlig_post,0.03148292855883259,0.003218989119059275,3.35963044819165e-10,27,837,3.19837579952571,0.024864686930046724,0.03810117018761846
E1 sesong per kohort,sent_post,0.013102164999851978,0.0075618199945257526,0.09500167525035823,27,837,1.3188374462444585,-0.0024449369088929696,0.028649266908596926
E1 sesong per kohort,sent_dose,0.020923247601493115,0.009153337228789882,0.030657420668667893,27,837,2.114367340355461,0.0021039862591011177,0.03974250894388511
"E4 sesong per kohort, sent kun via dose",tidlig_post,0.030436195817119194,0.0031945068819297165,5.749941833327327e-10,27,837,3.090411195585263,0.023868289667871696,0.03700410196636669
"E4 sesong per kohort, sent kun via dose",sent_dose,0.03642033984518202,0.0034289417272504105,5.953529217835695e-11,27,837,3.7091685842850497,0.029370435653955175,0.04347024403640886
E2 kun sent vs ikke bestilt (sesong implisitt sent-spesifikk),sent_post,-0.005232533180969279,0.003436577768085776,0.14624308929998048,18,558,-0.5218867325295196,-0.012298137072153634,0.0018330707102150769
E2 kun sent vs ikke bestilt (sesong implisitt sent-spesifikk),sent_dose,0.045303638194813645,0.004749476522099654,3.0799208796893365e-08,18,558,4.6345522144577656,0.03553871446537676,0.05506856192425053
E3 kun tidlig vs ikke bestilt,tidlig_post,0.03163339174210415,0.00393806168349908,3.4524036082726296e-07,18,558,3.213904523878308,0.023536736920830047,0.03973004656337826
"E5 placebo okt 2024–apr 2025, felles sesong",tidlig_post,-0.006788451033785514,0.002293584292460365,0.006488038594657574,27,648,-0.6765461550475527,-0.011504060339084025,-0.002072841728487004
"E5 placebo okt 2024–apr 2025, felles sesong",sent_post,-0.012651854237133364,0.0028185008225586347,0.00012955159346133812,27,648,-1.25721559935702,-0.018446691928313916,-0.00685701654595281
"E5 placebo okt 2024–apr 2025, felles sesong",sent_dose,0.014478745330720674,0.0014272951798854454,1.572260254814039e-10,27,648,1.4584070073356825,0.011544226440876198,0.01741326422056515
"E5 placebo okt 2024–apr 2025, sesong per kohort",tidlig_post,-0.006638737641528445,0.0018021963618071579,0.0010607103414714285,27,648,-0.6616749906632857,-0.010344053361403961,-0.0029334219216529287
"E5 placebo okt 2024–apr 2025, sesong per kohort",sent_post,-0.004949683699146641,0.0028549939827286026,0.09481750274534642,27,648,-0.49374542004890776,-0.010819551327636647,0.0009201839293433668
"E5 placebo okt 2024–apr 2025, sesong per kohort",sent_dose,0.003385538505203069,0.0024909336223919993,0.18577434709418206,27,648,0.33912759136001114,-0.0017358210224348814,0.00850689803284102
E6 Husholdning Høy (9 klustre),tidlig_post,0.02357218079899681,0.002802934240490985,3.042489309688435e-05,9,279,2.385220054941395,0.017809348000547346,0.029335013597446277
E6 Husholdning Høy (9 klustre),sent_post,0.01990097705207533,0.007663120534634216,0.03176652428584086,9,279,2.0100321684239253,0.00414560123286738,0.035656352871283284
E6 Husholdning Høy (9 klustre),sent_dose,0.006365652315459935,0.00966303533319392,0.5285482840156243,9,279,0.6385956139658866,-0.013501548329586766,0.026232852960506637
E6 Husholdning Lav (9 klustre),tidlig_post,0.04256493143605217,0.005269567899199688,4.073783114283027e-05,9,279,4.348380907623461,0.03173069983529761,0.053399163036806724
E6 Husholdning Lav (9 klustre),sent_post,0.004793059116295684,0.011610293909793262,0.690574808980655,9,279,0.4804564198310324,-0.019077705162239264,0.02866382339483063
E6 Husholdning Lav (9 klustre),sent_dose,0.04098347563790494,0.014001504001549033,0.019083357442138956,9,279,4.183488974627836,0.01219638341072013,0.06977056786508976
E6 Husholdning Medium (9 klustre),tidlig_post,0.028533976080306445,0.0027417016182280794,6.2951164619811525e-06,9,279,2.8944969757560335,0.022897037553229513,0.034170914607383376
E6 Husholdning Medium (9 klustre),sent_post,0.006190081694412125,0.010178923710058553,0.5599674491622167,9,279,0.6209279842362969,-0.01473778545346826,0.02711794884229251
E6 Husholdning Medium (9 klustre),sent_dose,0.022293207018549532,0.013644396808058075,0.14092700624544338,9,279,2.254355746833947,-0.0057596728188178715,0.05034608685591693
