prisomrade,maned,spot_ore_kwh,p_eff,p_eff_kveldsveid,p_eff_inkl_mva,p_np,p_np_inkl_mva,spot_minus_p_eff,andel,terskel_ore,basis
NO1,2021-12,176.659,117.9965,118.9823,147.4957,,,58.6624,0.55,70.0,maned
NO1,2022-01,140.6074,84.1215,84.3512,105.1519,,,56.4859,0.8,70.0,maned
NO1,2022-02,120.371,80.0742,80.1944,100.0928,,,40.2968,0.8,70.0,maned
NO1,2022-03,187.1168,93.4234,93.4612,116.7792,,,93.6935,0.8,70.0,maned
NO1,2022-04,173.8741,90.7748,91.0076,113.4685,,,83.0993,0.8,70.0,maned
NO1,2022-05,164.9258,88.9852,89.5009,111.2315,,,75.9407,0.8,70.0,maned
NO1,2022-06,150.1611,86.0322,86.3941,107.5403,,,64.1289,0.8,70.0,maned
NO1,2022-07,166.5922,89.3184,89.5588,111.648,,,77.2737,0.8,70.0,maned
NO1,2022-08,344.1956,124.8391,125.2476,156.0489,,,219.3565,0.8,70.0,maned
NO1,2022-09,359.3122,98.9312,99.9566,123.664,,,260.3809,0.9,70.0,maned
NO1,2022-10,131.5688,76.1569,76.6086,95.1961,,,55.4119,0.9,70.0,maned
NO1,2022-11,112.4819,74.2482,74.5172,92.8102,,,38.2337,0.9,70.0,maned
NO1,2022-12,268.2463,89.8246,90.3484,112.2808,,,178.4216,0.9,70.0,maned
NO1,2023-01,126.5547,75.6555,75.885,94.5693,,,50.8992,0.9,70.0,maned
NO1,2023-02,114.8467,74.4847,74.5784,93.1058,,,40.362,0.9,70.0,maned
NO1,2023-03,112.4172,74.2417,74.3995,92.8021,,,38.1754,0.9,70.0,maned
NO1,2023-04,110.7473,78.1495,78.4271,97.6868,,,32.5979,0.8,70.0,maned
NO1,2023-05,78.5375,71.7075,72.0968,89.6344,,,6.83,0.8,70.0,maned
NO1,2023-06,73.3505,70.3351,70.4114,87.9188,,,3.0155,0.9,70.0,maned
NO1,2023-07,36.8914,36.8914,37.9223,46.1143,,,0.0,0.9,70.0,maned
NO1,2023-08,20.0341,20.0341,20.4704,25.0427,,,0.0,0.9,70.0,maned
NO1,2023-09,1.1202,1.1202,1.2677,1.4002,,,0.0,0.9,70.0,time
NO1,2023-10,43.0479,37.7111,38.4893,47.1389,,,5.3368,0.9,70.0,time
NO1,2023-11,104.8147,70.9583,71.5581,88.6979,,,33.8564,0.9,70.0,time
NO1,2023-12,93.7269,67.2359,67.9323,84.0449,,,26.491,0.9,70.0,time
NO1,2024-01,91.8278,70.6854,71.3084,88.3567,,,21.1425,0.9,73.0,time
NO1,2024-02,66.977,63.3949,64.2788,79.2436,,,3.5822,0.9,73.0,time
NO1,2024-03,67.5921,64.2607,65.2488,80.3259,,,3.3314,0.9,73.0,time
NO1,2024-04,60.1166,56.3581,57.7302,70.4477,,,3.7584,0.9,73.0,time
NO1,2024-05,37.3643,36.3324,37.7194,45.4155,,,1.0319,0.9,73.0,time
NO1,2024-06,38.3126,37.5268,38.7223,46.9085,,,0.7858,0.9,73.0,time
NO1,2024-07,28.6001,28.6001,29.3501,35.7501,,,0.0,0.9,73.0,time
NO1,2024-08,12.8593,12.8593,13.3945,16.0741,,,0.0,0.9,73.0,time
NO1,2024-09,21.1557,20.9397,22.0117,26.1746,,,0.216,0.9,73.0,time
NO1,2024-10,39.8534,38.4274,39.429,48.0343,,,1.426,0.9,73.0,time
NO1,2024-11,56.0708,48.2909,49.1932,60.3636,,,7.7799,0.9,73.0,time
NO1,2024-12,63.5017,47.3949,48.212,59.2436,,,16.1068,0.9,73.0,time
NO1,2025-01,75.1259,56.0824,57.0639,70.1031,,,19.0435,0.9,75.0,time
NO1,2025-02,96.9153,70.3555,71.0644,87.9443,,,26.5598,0.9,75.0,time
NO1,2025-03,52.1745,49.8409,50.8928,62.3011,,,2.3336,0.9,75.0,time
NO1,2025-04,60.2118,55.4679,56.6665,69.3348,,,4.7439,0.9,75.0,time
NO1,2025-05,71.1865,62.6386,64.4468,78.2982,,,8.5479,0.9,75.0,time
NO1,2025-06,53.4242,51.9594,53.9093,64.9493,,,1.4648,0.9,75.0,time
NO1,2025-07,49.6413,49.1139,51.1346,61.3924,,,0.5273,0.9,75.0,time
NO1,2025-08,72.6551,57.9228,59.9422,72.4034,,,14.7324,0.9,75.0,time
NO1,2025-09,59.7482,56.2691,58.5502,70.3364,,,3.4791,0.9,75.0,time
NO1,2025-10,58.7409,57.0216,58.4577,71.277,40.0,50.0,1.7194,0.9,75.0,time
NO1,2025-11,92.3453,72.5478,73.3725,90.6847,40.0,50.0,19.7975,0.9,75.0,time
NO1,2025-12,81.4855,72.7639,73.2908,90.9548,40.0,50.0,8.7216,0.9,75.0,time
NO1,2026-01,127.3217,81.5948,81.9232,101.9935,40.0,50.0,45.7269,0.9,77.0,time
NO1,2026-02,125.2037,81.8204,82.02,102.2755,40.0,50.0,43.3834,0.9,77.0,time
NO1,2026-03,117.6787,80.613,81.0098,100.7663,40.0,50.0,37.0657,0.9,77.0,time
NO1,2026-04,111.0631,77.3474,78.0249,96.6843,40.0,50.0,33.7157,0.9,77.0,time
NO1,2026-05,106.4986,72.9343,74.39,91.1679,40.0,50.0,33.5643,0.9,77.0,time
NO1,2026-06,82.8352,67.9482,69.39,84.9352,40.0,50.0,14.887,0.9,77.0,time
NO2,2021-12,176.6121,117.9754,118.9649,147.4693,,,58.6367,0.55,70.0,maned
NO2,2022-01,140.6043,84.1209,84.3504,105.1511,,,56.4834,0.8,70.0,maned
NO2,2022-02,120.3708,80.0742,80.1943,100.0927,,,40.2966,0.8,70.0,maned
NO2,2022-03,187.1168,93.4234,93.4612,116.7792,,,93.6935,0.8,70.0,maned
NO2,2022-04,173.7682,90.7536,90.9901,113.4421,,,83.0146,0.8,70.0,maned
NO2,2022-05,165.281,89.0562,89.5614,111.3203,,,76.2248,0.8,70.0,maned
NO2,2022-06,186.6044,93.3209,93.9135,116.6511,,,93.2835,0.8,70.0,maned
NO2,2022-07,262.2621,108.4524,109.5717,135.5655,,,153.8097,0.8,70.0,maned
NO2,2022-08,434.2871,142.8574,144.8223,178.5718,,,291.4297,0.8,70.0,maned
NO2,2022-09,359.3122,98.9312,99.9566,123.664,,,260.3809,0.9,70.0,maned
NO2,2022-10,131.9379,76.1938,76.6417,95.2422,,,55.7441,0.9,70.0,maned
NO2,2022-11,112.7091,74.2709,74.536,92.8386,,,38.4382,0.9,70.0,maned
NO2,2022-12,268.2424,89.8242,90.348,112.2803,,,178.4182,0.9,70.0,maned
NO2,2023-01,126.5547,75.6555,75.885,94.5693,,,50.8992,0.9,70.0,maned
NO2,2023-02,114.9233,74.4923,74.5848,93.1154,,,40.4309,0.9,70.0,maned
NO2,2023-03,112.4185,74.2419,74.3996,92.8023,,,38.1767,0.9,70.0,maned
NO2,2023-04,110.7473,78.1495,78.4271,97.6868,,,32.5979,0.8,70.0,maned
NO2,2023-05,80.5844,72.1169,72.5132,90.1461,,,8.4675,0.8,70.0,maned
NO2,2023-06,96.5503,72.655,72.8796,90.8188,,,23.8952,0.9,70.0,maned
NO2,2023-07,68.8225,68.8225,70.0894,86.0282,,,0.0,0.9,70.0,maned
NO2,2023-08,72.7927,70.2793,70.3899,87.8491,,,2.5134,0.9,70.0,maned
NO2,2023-09,57.5862,50.0231,51.0679,62.5289,,,7.5631,0.9,70.0,time
NO2,2023-10,50.4574,45.0896,46.0491,56.3621,,,5.3677,0.9,70.0,time
NO2,2023-11,104.8147,70.9583,71.5581,88.6979,,,33.8564,0.9,70.0,time
NO2,2023-12,91.0759,66.9465,67.6783,83.6832,,,24.1294,0.9,70.0,time
NO2,2024-01,86.1818,70.1208,70.7159,87.6509,,,16.061,0.9,73.0,time
NO2,2024-02,66.4978,63.1665,64.0843,78.9581,,,3.3313,0.9,73.0,time
NO2,2024-03,67.5938,64.2624,65.2502,80.3281,,,3.3314,0.9,73.0,time
NO2,2024-04,59.7286,55.9659,57.3942,69.9574,,,3.7626,0.9,73.0,time
NO2,2024-05,48.2686,46.422,48.1491,58.0275,,,1.8467,0.9,73.0,time
NO2,2024-06,47.8746,45.2028,47.0238,56.5035,,,2.6717,0.9,73.0,time
NO2,2024-07,40.6048,40.1008,41.5707,50.126,,,0.504,0.9,73.0,time
NO2,2024-08,47.7556,47.3329,49.1057,59.1661,,,0.4227,0.9,73.0,time
NO2,2024-09,45.0047,44.6519,46.0657,55.8149,,,0.3528,0.9,73.0,time
NO2,2024-10,49.1062,47.6695,48.4472,59.5869,,,1.4366,0.9,73.0,time
NO2,2024-11,64.9051,54.9026,55.7058,68.6282,,,10.0025,0.9,73.0,time
NO2,2024-12,74.5064,49.988,50.832,62.485,,,24.5184,0.9,73.0,time
NO2,2025-01,77.7802,56.8001,57.7979,71.0002,,,20.9801,0.9,75.0,time
NO2,2025-02,100.3293,71.2537,71.9768,89.0672,,,29.0756,0.9,75.0,time
NO2,2025-03,56.9547,52.5142,53.5071,65.6428,,,4.4405,0.9,75.0,time
NO2,2025-04,65.4812,59.7772,60.8427,74.7215,,,5.704,0.9,75.0,time
NO2,2025-05,74.8248,64.4482,66.1059,80.5602,,,10.3767,0.9,75.0,time
NO2,2025-06,63.9281,59.8024,61.6176,74.753,,,4.1258,0.9,75.0,time
NO2,2025-07,82.5798,71.7666,72.5363,89.7082,,,10.8132,0.9,75.0,time
NO2,2025-08,84.3071,65.3387,67.1985,81.6733,,,18.9684,0.9,75.0,time
NO2,2025-09,70.183,63.0562,64.9002,78.8203,,,7.1268,0.9,75.0,time
NO2,2025-10,69.4726,63.3386,64.5222,79.1732,40.0,50.0,6.1341,0.9,75.0,time
NO2,2025-11,93.9753,73.8899,74.6073,92.3624,40.0,50.0,20.0854,0.9,75.0,time
NO2,2025-12,82.6477,72.7876,73.3156,90.9845,40.0,50.0,9.8601,0.9,75.0,time
NO2,2026-01,123.124,81.1636,81.5163,101.4546,40.0,50.0,41.9604,0.9,77.0,time
NO2,2026-02,114.182,80.7098,80.9138,100.8873,40.0,50.0,33.4722,0.9,77.0,time
NO2,2026-03,116.0034,79.5188,80.1139,99.3985,40.0,50.0,36.4846,0.9,77.0,time
NO2,2026-04,103.4427,74.1482,75.1173,92.6852,40.0,50.0,29.2946,0.9,77.0,time
NO2,2026-05,108.4459,73.2895,74.7252,91.6119,40.0,50.0,35.1563,0.9,77.0,time
NO2,2026-06,105.3231,70.8803,72.5507,88.6004,40.0,50.0,34.4427,0.9,77.0,time
NO5,2021-12,176.223,117.8004,118.82,147.2504,,,58.4227,0.55,70.0,maned
NO5,2022-01,137.0945,83.4189,83.6613,104.2736,,,53.6756,0.8,70.0,maned
NO5,2022-02,120.0725,80.0145,80.1449,100.0181,,,40.058,0.8,70.0,maned
NO5,2022-03,187.128,93.4256,93.463,116.782,,,93.7024,0.8,70.0,maned
NO5,2022-04,174.2547,90.8509,91.0706,113.5637,,,83.4038,0.8,70.0,maned
NO5,2022-05,164.9753,88.9951,89.5091,111.2438,,,75.9803,0.8,70.0,maned
NO5,2022-06,150.0868,86.0174,86.3818,107.5217,,,64.0695,0.8,70.0,maned
NO5,2022-07,166.5922,89.3184,89.5588,111.648,,,77.2737,0.8,70.0,maned
NO5,2022-08,341.492,124.2984,124.7517,155.373,,,217.1936,0.8,70.0,maned
NO5,2022-09,359.3122,98.9312,99.9566,123.664,,,260.3809,0.9,70.0,maned
