,koef,se,p,stjerner,modell,pst_effekt
egd,0.0018837642266519516,1.602895920370303e-05,0.0,***,"M1 s07-spesifikasjon, spot i nivå",
spot_ore_kwh,-0.0003676885056547875,1.8295049470951695e-05,0.0,***,"M1 s07-spesifikasjon, spot i nivå",
innt_1000,0.0008996017210593678,4.566751437723631e-05,0.0,***,"M1 s07-spesifikasjon, spot i nivå",
snitt_bruksareal_m2,-0.0009330114992765188,0.0007784980171901372,0.23076045454942729,,"M1 s07-spesifikasjon, spot i nivå",
post_np,0.09503148043954106,0.0069195101514903145,0.0,***,"M1 s07-spesifikasjon, spot i nivå",9.969347341510403
egd,0.0018898610718294817,1.6609533715900268e-05,0.0,***,"M1e s07-spesifikasjon, p_eff i nivå",
p_eff,-0.0007445407473647835,7.84461487846736e-05,0.0,***,"M1e s07-spesifikasjon, p_eff i nivå",
innt_1000,0.0011635645087112395,5.0666393779774656e-05,0.0,***,"M1e s07-spesifikasjon, p_eff i nivå",
snitt_bruksareal_m2,-0.0009622036079665721,0.0008652546694177682,0.266145221969905,,"M1e s07-spesifikasjon, p_eff i nivå",
post_np,0.09398485561904533,0.007175123390346715,0.0,***,"M1e s07-spesifikasjon, p_eff i nivå",9.854310903585816
egd,0.0011063885099548564,3.426243469685961e-05,0.0,***,"M2 s07-spesifikasjon, spot i nivå",
spot_ore_kwh,-0.00024150070725393574,1.8698760830455003e-05,0.0,***,"M2 s07-spesifikasjon, spot i nivå",
innt_1000,0.0010082047451364466,4.629678919375016e-05,0.0,***,"M2 s07-spesifikasjon, spot i nivå",
snitt_bruksareal_m2,-0.0016852742683789456,0.0007425986147586056,0.023263856308237463,*,"M2 s07-spesifikasjon, spot i nivå",
post_np,0.0716580150550681,0.007011817221023949,0.0,***,"M2 s07-spesifikasjon, spot i nivå",7.428789095045074
egd,0.0010978001188866298,3.382679027267313e-05,0.0,***,"M2e s07-spesifikasjon, p_eff i nivå",
p_eff,-0.0005423127645262759,7.328962850431003e-05,1.4788170688007085e-13,***,"M2e s07-spesifikasjon, p_eff i nivå",
innt_1000,0.0011566935538537331,5.0394639260962374e-05,0.0,***,"M2e s07-spesifikasjon, p_eff i nivå",
snitt_bruksareal_m2,-0.0016969216196228065,0.0007527575295549458,0.024200860499925536,*,"M2e s07-spesifikasjon, p_eff i nivå",
post_np,0.07134326163607249,0.007371512347989287,0.0,***,"M2e s07-spesifikasjon, p_eff i nivå",7.3949808372903325
egd,0.0018911796584049796,1.6813638832153907e-05,0.0,***,"M1 sammenligning, log(spot)",
log_spot,-0.017462086674570804,0.0018927970976684077,0.0,***,"M1 sammenligning, log(spot)",
log_innt,0.8103249486359658,0.0280983940142215,0.0,***,"M1 sammenligning, log(spot)",
post_np,0.08722591114739765,0.00707182349660678,0.0,***,"M1 sammenligning, log(spot)",9.114315327839929
egd,0.0018821290900920772,1.663172397284389e-05,0.0,***,M1e NRK-lik med log(p_eff),
log_p_eff,-0.013151170120178949,0.001965093073585841,2.315103664329854e-11,***,M1e NRK-lik med log(p_eff),
log_innt,0.9080444969458841,0.025030619377703876,0.0,***,M1e NRK-lik med log(p_eff),
post_np,0.08313433232731152,0.00703468545346553,0.0,***,M1e NRK-lik med log(p_eff),8.668777604195865
egd,0.0010998934953548051,3.394530263148698e-05,0.0,***,"M2 sammenligning, log(spot) + kalendermåned",
log_spot,-0.014605841351989298,0.0016054092847314384,0.0,***,"M2 sammenligning, log(spot) + kalendermåned",
log_innt,0.7794910072306511,0.02642657458848092,0.0,***,"M2 sammenligning, log(spot) + kalendermåned",
post_np,0.06670339419626778,0.0070324652650908485,0.0,***,"M2 sammenligning, log(spot) + kalendermåned",6.897836596085538
egd,0.0010928172781395707,3.366015405677425e-05,0.0,***,"M2e + kalendermåned, log(p_eff)",
log_p_eff,-0.014379173925899462,0.001681707985027623,0.0,***,"M2e + kalendermåned, log(p_eff)",
log_innt,0.8480507058850918,0.023928708301619993,0.0,***,"M2e + kalendermåned, log(p_eff)",
post_np,0.06404518839288864,0.006940063727192442,0.0,***,"M2e + kalendermåned, log(p_eff)",6.6140574852167955

# F2e og prisgap (statsmodels-formel, ikke PanelOLS-format over):
modell,term,koef,se,p,N
F2e + log(p_eff),share_post,0.0842051339865296,0.06879768632202943,0.2209699614031928,10047
F2e + log(p_eff),log_p_eff,-0.011899360074318244,0.00145649434953737,3.087384887871498e-16,10047
Prisgap,gap_x,0.10142585539043181,0.07910160320355455,0.19976460558014664,10047
