,produksjon_gwh,import_gwh,eksport_gwh,nettoeksport_gwh,bruttoforbruk_gwh,husholdningsforbruk_gwh
2021,157.09,8.24,25.82,17.58,139.51,42.78
2022,145.94,13.27,25.79,12.52,133.42,37.78
2023,153.98,13.24,30.98,17.74,136.24,40.45
2024,157.15,14.68,33.12,18.44,138.72,40.86
2025,161.79,11.51,34.31,22.8,138.99,40.41
2026,87.73,10.97,13.65,2.68,85.04,26.42
2021 jan–07,92.64,4.68,14.39,9.71,82.93,26.31
2022 jan–07,86.71,7.46,15.62,8.16,78.55,22.54
2023 jan–07,88.16,7.66,17.92,10.26,77.9,22.76
2024 jan–07,91.0,8.82,18.34,9.52,81.48,24.41
2025 jan–07,95.18,6.09,20.26,14.17,81.01,23.84
2026 jan–07,87.73,10.97,13.65,2.68,85.04,26.42
snitt 2021–2025 jan–07,90.74,6.94,17.31,10.36,80.37,23.97
"2026 minus snitt, jan–07",-3.01,4.03,-3.66,-7.68,4.67,2.45
