aar,produksjon_twh,import_twh,eksport_twh,nettoeksport_twh,bruttoforbruk_twh,husholdninger_twh
2010,124.4,14.7,7.1,-7.5,132.0,nan
2011,128.1,11.3,14.3,3.1,125.1,nan
2012,147.8,4.2,22.0,17.8,130.0,nan
2013,134.2,10.1,15.1,5.0,129.2,nan
2014,142.3,6.3,21.9,15.6,126.7,nan
2015,145.0,7.4,22.0,14.6,130.4,nan
2016,149.5,5.7,22.2,16.4,133.1,nan
2017,149.3,6.1,21.3,15.2,134.1,nan
2018,146.8,8.3,18.5,10.1,136.7,nan
2019,134.6,12.4,12.3,-0.0,134.7,nan
2020,154.2,4.5,25.0,20.5,133.7,40.5
2021,157.1,8.2,25.8,17.6,139.5,42.8
2022,145.9,13.3,25.8,12.5,133.4,37.8
2023,154.0,13.2,31.0,17.7,136.2,40.4
2024,157.2,14.7,33.1,18.4,138.7,40.9
2025,161.8,11.5,34.3,22.8,139.0,40.4
2026,98.1,12.4,15.6,3.2,94.9,28.6
