,koef,se,p,stjerner,modell
egd,0.0007768854933187155,5.0886739399551975e-05,0.0,***,Event-study andel×måned
spot_ore_kwh,0.00017659916791552837,0.00016517717209197136,0.2850284626817816,,Event-study andel×måned
innt_1000,-0.00011616571856549959,0.00019401685541631792,0.5493599042714523,,Event-study andel×måned
snitt_bruksareal_m2,-0.000943424562612847,0.0007118481234028105,0.1850968969273421,,Event-study andel×måned
np_x_2025-10,0.02571568645566615,0.0189215301739049,0.17415567734856507,,Event-study andel×måned
np_x_2025-11,0.130529885348571,0.024538782412887688,1.0644868542186714e-07,***,Event-study andel×måned
np_x_2025-12,0.34218901538953256,0.08672693953544178,8.015948800310646e-05,***,Event-study andel×måned
np_x_2026-01,0.3877068057871972,0.09802334592508143,7.699378010195268e-05,***,Event-study andel×måned
np_x_2026-02,0.4157056255731721,0.10006780938200674,3.291445392905601e-05,***,Event-study andel×måned
np_x_2026-03,0.26560511981732066,0.12454124093442265,0.03297677968361046,*,Event-study andel×måned
np_x_2026-04,0.30716185288212633,0.1546758438768781,0.047078672473904515,*,Event-study andel×måned
