term,koef,se,gruppe,maned,pst,sesong
t_202510,0.012764791963620115,0.0029688011652219196,tidlig,2025-10,1.2846609678630383,felles
s_202510,0.005896868726941323,0.0027325799153361118,sent,2025-10,0.5914289483136548,felles
t_202511,0.02037610447705966,0.003149542075611332,tidlig,2025-11,2.0585114483363975,felles
s_202511,0.014518343729680853,0.0034623311865489997,sent,2025-11,1.4624246773603522,felles
t_202512,0.02451154511092509,0.0031477659160190816,tidlig,2025-12,2.4814422635087263,felles
s_202512,0.017349516397209084,0.0038791564581869844,sent,2025-12,1.7500893429083675,felles
t_202601,0.041612602471919474,0.0034381390994061567,tidlig,2026-01,4.249054225469817,felles
s_202601,0.035893017276863996,0.0040870055417495995,sent,2026-01,3.6544948157719803,felles
t_202602,0.04637426942433932,0.004529193369260189,tidlig,2026-02,4.746637223895278,felles
s_202602,0.04648265321067786,0.0047788738309895735,sent,2026-02,4.757990676297785,felles
t_202603,0.036435276464637165,0.003171674355414897,tidlig,2026-03,3.710717660239138,felles
s_202603,0.04119656962798725,0.003417565203298708,sent,2026-03,4.205692215598722,felles
t_202604,0.03453446472535467,0.0029561406640736263,tidlig,2026-04,3.5137703497999384,felles
s_202604,0.03893426962823042,0.0027238112684625625,sent,2026-04,3.970214139581807,felles
t_202510,0.010931070875043391,0.003427181419998118,tidlig,2025-10,1.0991033315676413,kohort
s_202510,0.008086868203413278,0.0029874103972917705,sent,2025-10,0.8119655243981949,kohort
t_202511,0.01960202270164001,0.0036191379647808985,tidlig,2025-11,1.979540383572087,kohort
s_202511,0.015442823484281852,0.0030743140344645196,sent,2025-11,1.5562680062724432,kohort
t_202512,0.022888255672780706,0.0037846285041684817,tidlig,2025-12,2.3152201704611297,kohort
s_202512,0.019288198807356608,0.0032985120745948797,sent,2025-12,1.947541788296192,kohort
t_202601,0.04154042799172726,0.0033590308774151968,tidlig,2026-01,4.241530375688796,kohort
s_202601,0.03597921423928982,0.0030703944966666307,sent,2026-01,3.6634299034500772,kohort
t_202602,0.04863351286246296,0.004186395460169941,tidlig,2026-02,4.9835529010316515,kohort
s_202602,0.04378445492223992,0.004116162427756813,sent,2026-02,4.475713835853057,kohort
t_202603,0.039554944204494735,0.002958080881078244,tidlig,2026-03,4.034765838914001,kohort
s_202603,0.03747077229801868,0.0029046387334332804,sent,2026-03,3.818165297442744,kohort
t_202604,0.036932856955825495,0.0030169281921455723,tidlig,2026-04,3.7623349308824716,kohort
s_202604,0.03606988737723833,0.0026605503799224267,sent,2026-04,3.6728298180833674,kohort
