term,koef,se,gruppe,maned,pst
s_202504,-0.004660822801049453,0.00480751450152217,sent,2025-04,-0.46499780215318864
t_202504,-0.00841175307040962,0.004654231681048731,tidlig,2025-04,-0.8376473266520246
s_202505,0.004456184607342794,0.002969399004477701,sent,2025-05,0.4466128162589511
t_202505,-0.0003401840575428335,0.0033925447227850544,tidlig,2025-05,-0.034012620150702944
s_202506,0.002173626095352896,0.0022831109907285718,sent,2025-06,0.21759901330884457
t_202506,-0.002851782604888632,0.0026334592789208945,tidlig,2025-06,-0.28477201355532333
s_202507,0.003577621335109106,0.00179684341177131,sent,2025-07,0.3584028661034466
t_202507,0.0021646039203651246,0.0014289287091962077,tidlig,2025-07,0.21669483667252631
s_202508,0.003618769003654495,0.0018400348916850179,sent,2025-08,0.36253246536144257
t_202508,0.0010834121451380714,0.0019050231393313462,tidlig,2025-08,0.10839992480817795
s_202509,0.0035278330182991783,0.002228762568320604,sent,2025-09,0.3534063145330002
t_202509,0.004922990737607773,0.002611005157085727,tidlig,2025-09,0.49351285664747113
s_202510,0.00808686820341487,0.003028429393739445,sent,2025-10,0.8119655243983726
t_202510,0.010931070875039875,0.003474238745172522,tidlig,2025-10,1.099103331567286
s_202511,0.015442823484282348,0.003116526271717146,sent,2025-11,1.5562680062724876
t_202511,0.01960202270163777,0.003668830972295873,tidlig,2025-11,1.979540383571865
s_202512,0.019288198807360647,0.003343802689903575,sent,2025-12,1.947541788296614
t_202512,0.022888255672780855,0.0038365937993655812,tidlig,2025-12,2.315220170461152
s_202601,0.03597921423928306,0.003112552916234908,sent,2026-01,3.6634299034493667
t_202601,0.04154042799172549,0.003405152453397111,tidlig,2026-01,4.241530375688618
s_202602,0.04378445492223952,0.004172679889220989,sent,2026-02,4.475713835853012
t_202602,0.04863351286246375,0.0042438772647012965,tidlig,2026-02,4.98355290103174
s_202603,0.03747077229801713,0.0029445212236312635,sent,2026-03,3.818165297442566
t_202603,0.03955494420449874,0.0029986971650896622,tidlig,2026-03,4.0347658389144225
s_202604,0.033739478487684466,0.0033688845911667995,sent,2026-04,3.431511028808898
t_202604,0.03272698299934466,0.004253233366345028,tidlig,2026-04,3.3268400889092
