,koef,se,p,stjerner,modell,pst_effekt
egd,0.0018837642266519516,1.602895920370303e-05,0.0,***,M1 NRK-lik,
spot_ore_kwh,-0.0003676885056547875,1.8295049470951695e-05,0.0,***,M1 NRK-lik,
innt_1000,0.0008996017210593678,4.566751437723631e-05,0.0,***,M1 NRK-lik,
snitt_bruksareal_m2,-0.0009330114992765188,0.0007784980171901372,0.23076045454942729,,M1 NRK-lik,
post_np,0.09503148043954106,0.0069195101514903145,0.0,***,M1 NRK-lik,9.969347341510403
egd,0.0018858449908387908,1.602037802645665e-05,0.0,***,"M1b NRK-lik, per målepunkt",
spot_ore_kwh,-0.0003508154786178412,1.510917473149503e-05,0.0,***,"M1b NRK-lik, per målepunkt",
innt_1000,0.0005241408980742857,4.155173736049756e-05,0.0,***,"M1b NRK-lik, per målepunkt",
snitt_bruksareal_m2,0.0006438045112911972,0.0009364482264904176,0.4917863477456419,,"M1b NRK-lik, per målepunkt",
post_np,0.08396098030541413,0.006834764594382969,0.0,***,"M1b NRK-lik, per målepunkt",8.75864556895336
egd,0.0011063885099548564,3.426243469685961e-05,0.0,***,M2 + kalendermåned,
spot_ore_kwh,-0.00024150070725393574,1.8698760830455003e-05,0.0,***,M2 + kalendermåned,
innt_1000,0.0010082047451364466,4.629678919375016e-05,0.0,***,M2 + kalendermåned,
snitt_bruksareal_m2,-0.0016852742683789456,0.0007425986147586056,0.023263856308237463,*,M2 + kalendermåned,
post_np,0.0716580150550681,0.007011817221023949,0.0,***,M2 + kalendermåned,7.428789095045074
egd,0.001094748791474924,3.365478984534403e-05,0.0,***,"M2b + kalendermåned, per målepunkt",
spot_ore_kwh,-0.00022108946403951438,1.4051779240405556e-05,0.0,***,"M2b + kalendermåned, per målepunkt",
innt_1000,0.0006293753568932989,3.783685442409953e-05,0.0,***,"M2b + kalendermåned, per målepunkt",
snitt_bruksareal_m2,-8.606877089855932e-05,0.0007594346657146918,0.9097691174928761,,"M2b + kalendermåned, per målepunkt",
post_np,0.060694373840678904,0.006891561604498075,0.0,***,"M2b + kalendermåned, per målepunkt",6.257411411053382
egd,0.0007792651027582164,5.1130076078871515e-05,0.0,***,"M3 år×måned-FE, andel Norgespris (Privat)",
spot_ore_kwh,0.00013823778512910326,0.0001645307578400852,0.4008200288618218,,"M3 år×måned-FE, andel Norgespris (Privat)",
innt_1000,-0.00012678667628009883,0.00019215486201295772,0.5093880163711448,,"M3 år×måned-FE, andel Norgespris (Privat)",
snitt_bruksareal_m2,-0.0009244403181782976,0.0007108969023356146,0.19349933046599954,,"M3 år×måned-FE, andel Norgespris (Privat)",
np_andel,0.2408320152704666,0.05998910137349198,5.999161857883628e-05,***,"M3 år×måned-FE, andel Norgespris (Privat)",27.230728915983438
egd,0.0007708416534688221,5.086660515749455e-05,0.0,***,"M4 som M3, per målepunkt",
spot_ore_kwh,0.00014812216235135566,0.0001628047480390241,0.36294259728306266,,"M4 som M3, per målepunkt",
innt_1000,-4.89834734602395e-05,0.00012195449624072563,0.6879476734067351,,"M4 som M3, per målepunkt",
snitt_bruksareal_m2,0.00038941273961810955,0.0007268459433194969,0.5921387279341772,,"M4 som M3, per målepunkt",
np_andel,0.2083775902584517,0.05904766851479631,0.00041908974646465147,***,"M4 som M3, per målepunkt",23.16781514285564
egd,0.0007762043956828875,5.141226928975515e-05,0.0,***,"M4b som M4, husholdningsandel",
spot_ore_kwh,8.991803245046127e-05,0.0001633714895286724,0.5820644641130803,,"M4b som M4, husholdningsandel",
innt_1000,-8.938879905640902e-05,0.00013459418209873882,0.5066191063872765,,"M4b som M4, husholdningsandel",
snitt_bruksareal_m2,0.0004344914529627525,0.0007174660681010133,0.5447999862510324,,"M4b som M4, husholdningsandel",
np_andel_hh,0.08294594541550158,0.055153130950723675,0.13263398012444538,,"M4b som M4, husholdningsandel",8.648307756959039
egd,0.0019143469968070195,1.593896833641065e-05,0.0,***,M5 placebo 2024-10 (data ≤ 2025-09),
spot_ore_kwh,-0.0004126978917253807,1.6529685368887366e-05,0.0,***,M5 placebo 2024-10 (data ≤ 2025-09),
innt_1000,0.00047134118369349104,4.783967246261412e-05,0.0,***,M5 placebo 2024-10 (data ≤ 2025-09),
snitt_bruksareal_m2,-0.0010135471519728207,0.0008009326557025508,0.20574179064632192,,M5 placebo 2024-10 (data ≤ 2025-09),
post_np,0.05090808067379527,0.0023233257157117236,0.0,***,M5 placebo 2024-10 (data ≤ 2025-09),5.222616891739085
egd,0.0019167775822303429,1.600304447966589e-05,0.0,***,"M5b placebo, per målepunkt",
spot_ore_kwh,-0.00038669901909905063,1.38894625643349e-05,0.0,***,"M5b placebo, per målepunkt",
innt_1000,0.0001617393139553246,4.320721952198968e-05,0.00018279274706567428,***,"M5b placebo, per målepunkt",
snitt_bruksareal_m2,0.0004099252991307687,0.0007578442963436648,0.5885840849372055,,"M5b placebo, per målepunkt",
post_np,0.04349678744788255,0.0020923113477204665,0.0,***,"M5b placebo, per målepunkt",4.445663893524943
