modell,term,koef,se,p,N,r2,pst_effekt
"F1 to-veis FE, share×post [log_kwh_mp]",share_post,0.0854039254095296,0.06904144796749885,0.21608894168115922,10047,0.9756121709219122,5.695275531405053
F2 + egd×kommune [log_kwh_mp],share_post,0.08638988783566118,0.06903322481541407,0.21077954298310675,10047,0.9839421232145418,5.7628851377367285
F3 + share×spot [log_kwh_mp],share_post,0.08346118249855553,0.06899789272016336,0.22642500994300685,10047,0.9839591226613772,5.56218384288385
F3 + share×spot [log_kwh_mp],share_spot,-0.00018168789752651747,7.456411470699195e-05,0.014823334072900029,10047,0.9839591226613772,
F4 placebo okt. 2024 (≤ sep. 2025) [log_kwh_mp],share_post,-0.0017507158124642763,0.01522333814801845,0.9084434597985064,8668,0.9905992442351197,-0.11348088647312737
F6 Privat-andel inkl. hytter [log_kwh_mp],share_priv_post,0.15973261013539108,0.07855449381494314,0.04201225276023078,10047,0.9840390909793849,10.915337915645896
"F1 to-veis FE, share×post [log_kwh]",share_post,0.09098104156064857,0.06969039018104872,0.1917214890319745,10047,0.9969082027865722,6.07828062725051
F2 + egd×kommune [log_kwh],share_post,0.09048155595655877,0.06681594820646647,0.1756754484585784,10047,0.9979451498642529,6.043922244970057
F3 + share×spot [log_kwh],share_post,0.086604686461351,0.06672981019105545,0.194341962785467,10047,0.9979488203826627,5.777620086900037
F3 + share×spot [log_kwh],share_spot,-0.0002405090941019192,9.629909050111895e-05,0.012506471557205646,10047,0.9979488203826627,
F4 placebo okt. 2024 (≤ sep. 2025) [log_kwh],share_post,0.010610216499575886,0.018954656143637404,0.575637457870191,8668,0.9987921699360718,0.6905147911486553
F6 Privat-andel inkl. hytter [log_kwh],share_priv_post,0.1953403268491809,0.07891569727977377,0.013312287607042242,10047,0.9979649291970365,13.506614485057078
F7 F2 på fylkesregel-panel [log_kwh_mp],share_post,0.08248956514264513,0.02660271884180126,0.0019300216249458213,10812,0.9840018736749464,5.495684033096659
D1 gruppe-FE + område×måned-FE,bestilt_post,0.05891726203411693,0.028053672164756023,0.03571457470483545,837,0.9975208323327527,6.068747798518692
D2 + bestilt×kalendermåned,bestilt_post,0.043336447909332866,0.01118152600897084,0.00010631050505633675,837,0.9976822437207433,4.428918466485654
D3 + bestilt×EGD,bestilt_post,0.04286321322698313,0.013297681662909268,0.0012669627850519635,837,0.9976940365833431,4.379510772066397
D3 + bestilt×EGD,bestilt_egd,0.00011257702305444262,0.00011987834324904882,0.34768252660203347,837,0.9976940365833431,
D4 placebo okt. 2024 på D3 (≤ sep. 2025),bestilt_post,0.012797566629952463,0.010290470177612787,0.21363472472405565,648,0.9977090029605994,1.2879805932303645
D4b placebo okt. 2024 på D2 (≤ sep. 2025),bestilt_post,0.008111686107935445,0.007298630547441361,0.26639691279871147,648,0.9976924234431832,0.8144674971800159
"D5 D3, tidlig/sent",tidlig_post,0.04541856828550995,0.014859874600214167,0.00223969575418685,837,0.9976958015424716,4.6465785641152335
"D5 D3, tidlig/sent",sent_post,0.03958632996505865,0.01596517048083604,0.013155079200317504,837,0.9976958015424716,4.0380311004060365
"D5b D2, tidlig/sent",tidlig_post,0.045899079202458455,0.012991367177819634,0.000410803216689107,837,0.9976840194374106,4.6968744704348975
"D5b D2, tidlig/sent",sent_post,0.040049094226389616,0.014348005571839623,0.005250237184179667,837,0.9976840194374106,4.0861873246489155
D6 D2 kun Husholdning Høy,bestilt_post,0.023907689202083526,0.0026479372560885275,1.7356856433092533e-19,279,0.9998502600697623,2.4195769198078754
D6 D2 kun Husholdning Lav,bestilt_post,0.03830895488892205,0.004396699622894503,2.9563323008181397e-18,279,0.9987894277953934,3.905220355134764
D6 D2 kun Husholdning Medium,bestilt_post,0.02556656447096639,0.0029673522451205483,6.936282261913399e-18,279,0.9998063665855502,2.589619223501227
