knr,d_post,d_plac,degd_post,degd_plac,n0,n1,n2,hytteandel,hytte_pp,kv
0301,6.30350276320339,-11.42883084380822,7.00540263997874,-20.652653836606124,7,7,7,0.00044355794847474646,0.04435579484747465,Q1 lav
1101,11.688978240795416,-7.872164178788825,9.041848591307081,-15.350315658096417,7,7,7,0.13882063882063883,13.882063882063884,Q2
1103,13.209100595613954,-7.311325617676591,7.527153969649378,-14.123631488657182,7,7,7,0.027954060429068853,2.7954060429068854,Q1 lav
1106,12.852635649710715,-7.266487418630825,7.911557822709522,-14.549527131043291,7,7,7,0.008113283612174964,0.8113283612174964,Q1 lav
1108,11.940114536989812,-6.286439260799696,4.673367852671598,-13.076620512385453,7,7,7,0.06312560122715337,6.312560122715337,Q1 lav
1111,12.945127407952468,-8.353127594570143,17.0326446981382,-11.731226254813468,7,7,7,0.16913946587537093,16.913946587537094,Q2
1112,12.177346246063701,-6.827132182382013,5.813989304413015,-13.480349558197574,7,7,7,0.22008547008547008,22.00854700854701,Q3
1114,13.638762403536678,-7.47172055798633,14.726778769663026,-11.900552033558519,7,7,7,0.40180078784468204,40.1800787844682,Q4 høy
1119,11.667478584123623,-6.155279418682824,8.070451126056527,-17.101835232451133,7,7,7,0.06472174552586418,6.472174552586418,Q1 lav
1120,10.945350204288276,-5.837021361036874,8.358651963285764,-14.369491350854476,7,7,7,0.020194274028629857,2.0194274028629855,Q1 lav
1121,13.420031090411118,-6.332243219094289,11.958417791217432,-21.676964166331796,7,7,7,0.0017139796464916979,0.1713979646491698,Q1 lav
1122,11.324974953886285,-6.314106318586448,18.27920587567889,-6.208672378879535,7,7,7,0.11345880681818182,11.345880681818182,Q2
1124,11.843434487110036,-5.4995236347313,7.675554187974259,-14.074127553507864,7,7,7,0.021818760949195732,2.181876094919573,Q1 lav
1127,11.61889117861075,-6.497014692307013,24.275106564521117,-10.024919229138668,7,7,7,0.025079617834394906,2.5079617834394905,Q1 lav
1130,12.198187173904754,-6.468059446342036,5.36730337394151,-11.877379068075685,7,7,7,0.19901687259200213,19.901687259200212,Q2
1133,11.936715361594917,-7.078706994767411,6.845176010080903,-13.986436388528281,7,7,7,0.42016460905349795,42.016460905349795,Q4 høy
1134,150.86877742152177,-7.945522206946832,6.419703939620837,-13.171532284137012,7,7,7,0.43707674943566593,43.707674943566595,Q4 høy
1135,11.573380052847575,-8.444397301513373,5.588996699022713,-13.106343263832343,7,7,7,0.22860635696821516,22.860635696821515,Q3
1144,10.641802976605039,-5.847267359057475,8.046012777784888,-14.26233446314592,7,7,7,0.2760084925690021,27.60084925690021,Q3
1145,11.170354162329375,-3.289252321500687,12.797868860533908,-12.858090948508849,7,7,7,0.3078034682080925,30.78034682080925,Q3
1146,11.725020056712443,-4.756198060091032,21.873909034790344,-7.0550441977400995,7,7,7,0.20078919411139778,20.07891941113978,Q2
1149,11.352397118729465,-6.197806502377231,8.0236922093563,-14.242727480376566,7,7,7,0.04328029141104295,4.328029141104295,Q1 lav
1151,15.52608229130383,-5.9282172076454875,7.716621604846012,-14.689825775327591,7,7,7,0.26666666666666666,26.666666666666668,Q3
1160,10.82552875941776,-5.15678419816016,6.116627978296539,-14.176563476734042,7,7,7,0.21737575974258133,21.73757597425813,Q3
3101,9.62984741315737,-11.75907703742685,13.29856626847301,-17.134233549601426,7,7,7,0.08879719647298213,8.879719647298213,Q2
3103,10.085167875646357,-10.92613625484332,10.024367010857818,-20.141278757746623,7,7,7,0.05871086556169429,5.871086556169429,Q1 lav
3105,19.21178303016066,-11.70546678036241,8.623789417576365,-21.987850767128975,7,7,7,0.0840446487196323,8.40446487196323,Q2
3107,10.003340443889037,-11.853848707956988,10.698053151633612,-22.070277757861806,7,7,7,0.093633379794074,9.363337979407401,Q2
3110,13.258375050123602,-13.235992737656016,10.12095052992385,-19.512630086057314,7,7,7,0.629080118694362,62.908011869436194,Q4 høy
3112,11.115659616205036,-10.954767498136125,8.349325847942971,-20.824554335148523,7,7,7,0.16804474708171208,16.804474708171206,Q2
3114,10.547459288837464,-9.468217973177733,22.642980573312386,-15.378889350335747,7,7,7,0.06116539992761491,6.116539992761491,Q1 lav
3116,12.672773949730665,-10.827857609690472,11.768287236265305,-20.00674216067149,7,7,7,0.16618773946360152,16.61877394636015,Q2
3118,9.495543318731846,-10.883480370647513,7.397027132991093,-20.87625206942169,7,7,7,0.05317596566523605,5.317596566523605,Q1 lav
3120,10.910421607222908,-7.263928067524715,7.572254873748058,-20.955801264789244,7,7,7,0.039470397202098426,3.9470397202098426,Q1 lav
3122,10.65793237078142,-12.807270353165725,16.723416045363212,-18.252628250325166,7,7,7,0.18576242628475148,18.57624262847515,Q2
3124,12.061821458856867,-13.225730926198647,15.719885729774086,-17.956455800596807,7,7,7,0.42113564668769715,42.11356466876971,Q4 høy
3201,6.547609051914054,-9.966039149638291,7.995732880475464,-18.704910773833884,7,7,7,0.0042819098013959726,0.4281909801395973,Q1 lav
3203,8.007099561880272,-9.80621043708023,7.2414152539808025,-19.19087919576306,7,7,7,0.07547991120010447,7.5479911200104475,Q1 lav
3205,7.393411386296229,-11.150641237857064,7.13243169943368,-21.68123436141632,7,7,7,0.006658595641646489,0.665859564164649,Q1 lav
3207,8.361889053663033,-10.045637884090091,10.819193848553239,-12.625852220626763,7,7,7,0.009306016447843023,0.9306016447843023,Q1 lav
3209,7.941278375585652,-8.940677356615833,5.633435681174579,-20.04408812743176,7,7,7,0.002698162195184035,0.2698162195184035,Q1 lav
3212,8.700801136721612,-10.86751895299238,9.655832220341205,-18.911121280215607,7,7,7,0.0805935098206661,8.05935098206661,Q2
3214,9.383561184245316,-10.596940855053504,9.655832220341205,-18.911121280215607,7,7,7,0.22454227525200576,22.454227525200576,Q3
3216,10.58576460353644,-9.317300162496553,14.815497287971066,-18.719609051074787,7,7,7,0.12382871536523929,12.382871536523929,Q2
3218,8.002499091862681,-9.457979707976278,6.578563579835849,-19.33564991652688,7,7,7,0.034384281471327396,3.43842814713274,Q1 lav
3220,8.10849683762195,-10.600545681108569,15.10491847073975,-20.614735889239174,7,7,7,0.11447492904446546,11.447492904446547,Q2
3222,7.941519255396214,-9.155738516040818,9.655832220341205,-18.911121280215607,7,7,7,0.0,0.0,Q1 lav
3224,8.192293442935929,-10.330750549000731,9.655832220341205,-18.911121280215607,7,7,7,0.005706134094151213,0.5706134094151213,Q1 lav
3226,9.057966744384432,-10.220557030406146,5.226208849725548,-19.892070055349766,7,7,7,0.09939973547665072,9.939973547665073,Q2
3228,7.937463127043472,-10.850994368204962,5.618933093668457,-20.84587074799276,7,7,7,0.03503873176004323,3.503873176004323,Q1 lav
3230,7.312644056825814,-10.703684679756158,9.655832220341205,-18.911121280215607,7,7,7,0.005748961992973491,0.5748961992973491,Q1 lav
3232,6.246924797082515,-10.205971329452652,2.0456008567382264,-15.544177147546833,7,7,7,0.014460304132848214,1.4460304132848214,Q1 lav
3234,6.932167288500753,-10.31695305761094,15.577109031147948,-18.235537707883367,7,7,7,0.17801538172950665,17.801538172950664,Q2
3236,6.994893538620511,-10.863517968755646,9.655832220341205,-18.911121280215607,7,7,7,0.0773277222514466,7.73277222514466,Q2
3238,7.1370907632168885,-8.556194611272016,6.424501458177173,-20.204018963694942,7,7,7,0.014372269973228125,1.4372269973228124,Q1 lav
3240,7.764177999187499,-9.892794709173328,7.78168452069086,-21.310586953779385,7,7,7,0.026564032903177118,2.6564032903177117,Q1 lav
3242,8.888142059207906,-9.0205213248166,9.655832220341205,-18.911121280215607,7,7,7,0.2764190124596216,27.64190124596216,Q3
3301,7.875507792770847,-10.46954489636628,5.161207207805445,-17.471989264710356,7,7,7,0.015142144638403991,1.5142144638403991,Q1 lav
3303,9.22488927458353,-10.251855975059017,5.163271594106058,-16.855247290073923,7,7,7,0.12166894177696005,12.166894177696005,Q2
3305,8.120780268551078,-9.854635602319883,5.722356609815755,-19.1555368694984,7,7,7,0.10061465197408494,10.061465197408493,Q2
3310,9.693889682054788,-10.002445601506125,11.318823018134637,-19.159111203336895,7,7,7,0.1529051987767584,15.29051987767584,Q2
3312,8.421493438570375,-10.782265719862473,5.783307423537549,-19.270476996900012,7,7,7,0.009892012200148381,0.9892012200148381,Q1 lav
3314,9.108555828784231,-9.430180493613053,3.6175069691562216,-16.531021096741803,7,7,7,0.014590347923681257,1.4590347923681257,Q1 lav
3316,9.413795538443162,-9.165913314058258,0.04208501234484338,-18.610284693652083,7,7,7,0.03830296581992286,3.830296581992286,Q1 lav
3318,11.172916398285231,-11.069744158315057,16.863819317538027,-21.925227813656132,7,7,7,0.6481829573934837,64.81829573934837,Q4 høy
3320,13.531827164867364,-9.630199573187102,6.882967409137882,-17.633351494933198,7,7,7,0.7612928348909658,76.12928348909658,Q4 høy
3322,10.654622799665237,-10.033443599899226,5.20406610912549,-15.434172880133326,7,7,7,0.6615947611710323,66.15947611710324,Q4 høy
3324,11.457763031475833,-9.812389486045053,15.888702459997054,-16.67882834276561,7,7,7,0.504444005530318,50.4444005530318,Q4 høy
3326,20.482826723675196,-8.134131660598813,11.776855174004803,-16.987378033025006,7,7,7,0.7120359955005624,71.20359955005624,Q4 høy
