knr,kommune,fylke,prisomrade,pa_kilde,pa_nve,n_omrader
0301,Oslo,03,NO1,fylke=nve,NO1,1.0
1101,Eigersund,11,NO2,fylke=nve,NO2,1.0
1103,Stavanger,11,NO2,fylke=nve,NO2,1.0
1106,Haugesund,11,NO2,fylke,,
1108,Sandnes,11,NO2,fylke=nve,NO2,1.0
1111,Sokndal,11,NO2,fylke=nve,NO2,1.0
1112,Lund,11,NO2,fylke=nve,NO2,1.0
1114,Bjerkreim,11,NO2,fylke=nve,NO2,1.0
1119,Hå,11,NO2,fylke=nve,NO2,1.0
1120,Klepp,11,NO2,fylke,,
1121,Time,11,NO2,fylke,,
1122,Gjesdal,11,NO2,fylke=nve,NO2,1.0
1124,Sola,11,NO2,fylke,,
1127,Randaberg,11,NO2,fylke,,
1130,Strand,11,NO2,fylke=nve,NO2,1.0
1133,Hjelmeland,11,NO2,fylke=nve,NO2,1.0
1134,Suldal,11,NO2,fylke=nve,NO2,1.0
1135,Sauda,11,NO2,fylke=nve,NO2,1.0
1144,Kvitsøy,11,NO2,fylke,,
1145,Bokn,11,NO2,fylke,,
1146,Tysvær,11,NO2,fylke=nve,NO2,1.0
1149,Karmøy,11,NO2,fylke,,
1151,Utsira,11,NO2,fylke,,
1160,Vindafjord,11,NO2,fylke=nve,NO2,1.0
1505,Kristiansund,15,NO3,fylke,,
1506,Molde,15,NO3,fylke=nve,NO3,1.0
1508,Ålesund,15,NO3,fylke=nve,NO3,1.0
1511,Vanylven,15,NO3,fylke=nve,NO3,1.0
1514,Sande,15,NO3,fylke=nve,NO3,1.0
1515,Herøy,15,NO3,fylke,,
1516,Ulstein,15,NO3,fylke=nve,NO3,1.0
1517,Hareid,15,NO3,fylke=nve,NO3,1.0
1520,Ørsta,15,NO3,fylke=nve,NO3,1.0
1525,Stranda,15,NO3,fylke=nve,NO3,1.0
1528,Sykkylven,15,NO3,fylke=nve,NO3,1.0
1531,Sula,15,NO3,fylke=nve,NO3,1.0
1532,Giske,15,NO3,fylke=nve,NO3,1.0
1535,Vestnes,15,NO3,fylke=nve,NO3,1.0
1539,Rauma,15,NO3,fylke=nve,NO3,1.0
1547,Aukra,15,NO3,fylke,,
1554,Averøy,15,NO3,fylke,,
1557,Gjemnes,15,NO3,fylke=nve,NO3,1.0
1560,Tingvoll,15,NO3,fylke=nve,NO3,1.0
1563,Sunndal,15,NO3,fylke=nve,NO3,1.0
1566,Surnadal,15,NO3,fylke=nve,NO3,1.0
1573,Smøla,15,NO3,fylke,,
1576,Aure,15,NO3,fylke=nve,NO3,1.0
1577,Volda,15,NO3,fylke=nve,NO3,1.0
1578,Fjord,15,NO3,fylke=nve,NO3,1.0
1579,Hustadvika,15,NO3,fylke=nve,NO3,1.0
1580,Haram,15,NO3,fylke=nve,NO3,1.0
1804,Bodø,18,NO4,fylke=nve,NO4,1.0
1806,Narvik,18,NO4,fylke=nve,NO4,1.0
1811,Bindal,18,NO4,fylke=nve,NO4,1.0
1812,Sømna,18,NO4,fylke,,
1813,Brønnøy,18,NO4,fylke=nve,NO4,1.0
1815,Vega,18,NO4,fylke,,
1816,Vevelstad,18,NO4,fylke,,
1818,Herøy,18,NO4,fylke,,
1820,Alstahaug,18,NO4,fylke,,
1822,Leirfjord,18,NO4,fylke=nve,NO4,1.0
1824,Vefsn,18,NO4,fylke=nve,NO4,1.0
1825,Grane,18,NO4,fylke=nve,NO4,1.0
1826,Aarborte,18,NO4,fylke,,
