iso_uke,dato,fyllingsgrad_land,median_grad_land,avvik_median_TWh_land,fyllingsgrad_sor,median_grad_sor,avvik_median_TWh_sor
1,2026-01-04,0.6946,0.6664,2.4743,0.6417,0.6911,-2.8355
2,2026-01-11,0.6571,0.653,0.3533,0.5991,0.6797,-4.63
3,2026-01-18,0.6215,0.6244,-0.2547,0.5595,0.6471,-5.0326
4,2026-01-25,0.5837,0.5914,-0.6693,0.5186,0.6098,-5.2342
5,2026-02-01,0.5451,0.5619,-1.4681,0.4764,0.5752,-5.6773
6,2026-02-08,0.5106,0.5294,-1.6393,0.4395,0.5419,-5.8819
7,2026-02-15,0.4748,0.5006,-2.2486,0.4011,0.5115,-6.3438
8,2026-02-22,0.4448,0.4743,-2.5775,0.3692,0.4831,-6.5426
9,2026-03-01,0.4219,0.45,-2.4557,0.3472,0.4558,-6.2343
10,2026-03-08,0.3968,0.4233,-2.3171,0.3176,0.4239,-6.1047
11,2026-03-15,0.3809,0.3976,-1.4586,0.3015,0.3977,-5.5254
12,2026-03-22,0.367,0.3745,-0.6497,0.2821,0.3718,-5.1541
13,2026-03-29,0.3553,0.3586,-0.2867,0.2695,0.3538,-4.8395
14,2026-04-05,0.3417,0.3438,-0.1765,0.2574,0.3392,-4.6953
15,2026-04-12,0.3284,0.3284,-0.0004,0.2425,0.3242,-4.6875
16,2026-04-19,0.3183,0.3144,0.3372,0.2328,0.3117,-4.5295
17,2026-04-26,0.3234,0.3122,0.9791,0.2386,0.3031,-3.706
18,2026-05-03,0.3289,0.3302,-0.1204,0.2455,0.3314,-4.9323
19,2026-05-10,0.3244,0.3558,-2.749,0.2417,0.3636,-7.0038
20,2026-05-17,0.3244,0.3949,-6.1638,0.2402,0.3897,-8.584
21,2026-05-24,0.3746,0.4531,-6.8693,0.2924,0.456,-9.3966
22,2026-05-31,0.4362,0.5135,-6.7656,0.3594,0.5113,-8.7264
23,2026-06-07,0.5173,0.5637,-4.0626,0.4456,0.5639,-6.7966
24,2026-06-14,0.5746,0.5964,-1.9108,0.5072,0.6105,-5.9327
25,2026-06-21,0.6018,0.641,-3.4315,0.5372,0.6471,-6.3174
26,2026-06-28,0.6187,0.6794,-5.3076,0.5516,0.6749,-7.0786
27,2026-07-05,0.6306,0.7003,-6.0917,0.5585,0.6934,-7.7482
28,2026-07-12,0.6285,0.719,-7.9212,0.5493,0.7132,-9.4137
29,2026-07-19,0.6205,0.7307,-9.6302,0.5364,0.7369,-11.5166
30,2026-07-26,0.6183,0.7416,-10.7855,0.5298,0.7461,-12.4259
31,2026-08-02,0.6281,0.7521,-10.8397,0.5399,0.7608,-12.6892
32,2026-08-09,0.6414,0.7761,-11.7743,0.5541,0.7826,-13.1287
33,2026-08-16,0.6479,0.7832,-11.8274,0.5581,0.7967,-13.7078
34,2026-08-23,0.6395,0.7954,-13.6332,0.5452,0.8078,-15.0859
35,2026-08-30,0.6344,0.8008,-14.5555,0.5393,0.8111,-15.6163
36,2026-09-06,0.6362,0.8104,-15.2349,0.5426,0.8228,-16.0926
37,2026-09-13,0.6427,0.8254,-15.9735,0.5503,0.8421,-16.7615
