maaned,produksjon_gwh,import_gwh,eksport_gwh,nettoeksport_gwh,bruttoforbruk_gwh,husholdningsforbruk_gwh
2021-01,17451.9,405.0,2269.0,1864.0,15587.9,5939.7
2021-02,14411.6,738.1,1188.6,450.5,13961.1,5215.3
2021-03,13789.7,985.0,1606.2,621.2,13168.5,4466.6
2021-04,12427.2,1029.1,1841.3,812.2,11615.0,3754.4
2021-05,12079.9,792.2,2224.8,1432.7,10647.2,3025.9
2021-06,11426.5,380.1,2672.7,2292.6,9133.8,2054.9
2021-07,11050.8,351.9,2587.2,2235.3,8815.5,1848.5
2021-08,10398.6,587.5,1771.1,1183.5,9215.1,2065.6
2021-09,11234.9,419.5,2163.7,1744.2,9490.7,2369.1
2021-10,12359.5,979.0,2238.7,1259.7,11099.8,3145.9
2021-11,14420.1,671.3,2681.3,2010.0,12410.0,3894.7
2021-12,16042.2,896.3,2574.2,1677.8,14364.4,4998.3
2022-01,15079.2,1166.6,2381.8,1215.2,13864.0,4666.9
2022-02,12949.4,1465.1,1911.6,446.6,12502.8,4176.9
2022-03,14614.7,884.0,3006.6,2122.6,12492.1,3925.8
2022-04,11140.8,1559.9,1691.1,131.3,11009.6,3327.1
2022-05,10783.8,1067.7,1653.8,586.2,10197.6,2630.4
2022-06,11479.7,451.1,2671.7,2220.7,9259.1,1979.5
2022-07,10663.9,865.6,2303.4,1437.8,9226.1,1835.4
2022-08,10462.5,801.2,2110.4,1309.2,9153.3,1850.6
2022-09,8579.0,1666.2,973.8,-692.4,9271.4,2117.6
2022-10,11018.5,1444.9,1569.4,124.5,10894.0,2862.1
2022-11,14321.4,471.9,3193.5,2721.7,11599.8,3459.8
2022-12,14850.0,1426.2,2324.4,898.1,13951.9,4947.5
2023-01,14139.5,1666.5,2131.0,464.6,13674.9,4749.5
2023-02,13781.3,880.3,2687.5,1807.2,11974.1,3956.1
2023-03,14299.9,1384.5,2289.2,904.6,13395.3,4456.3
2023-04,12003.4,1256.5,2403.3,1146.9,10856.5,3278.7
2023-05,11122.7,1243.8,2332.9,1089.0,10033.7,2632.2
2023-06,11333.2,507.2,2870.5,2363.3,8969.9,1877.9
2023-07,11480.2,724.9,3207.4,2482.5,8997.7,1804.4
2023-08,12198.7,500.8,3542.9,3042.1,9156.6,1946.0
2023-09,12003.9,473.1,3248.9,2775.8,9228.1,2192.2
2023-10,13364.5,970.9,2516.3,1545.4,11819.2,3511.5
2023-11,14283.4,1294.4,2250.9,956.6,13326.9,4529.4
2023-12,13964.6,2336.6,1497.2,-839.5,14804.1,5514.1
2024-01,15629.1,1680.2,1927.4,247.2,15381.9,5675.2
2024-02,14293.4,1375.2,2289.1,913.8,13379.6,4691.4
2024-03,14485.5,1248.4,2907.8,1659.4,12826.1,4234.9
2024-04,12465.7,1169.4,2191.7,1022.3,11443.3,3492.0
2024-05,11752.6,1147.7,3066.6,1918.9,9833.7,2292.2
2024-06,11282.1,994.0,2885.4,1891.4,9390.8,2133.0
2024-07,11094.8,1201.8,3070.1,1868.3,9226.5,1887.6
2024-08,11104.1,1400.3,2962.2,1561.9,9542.2,2022.9
2024-09,11578.5,1081.0,2934.1,1853.1,9725.4,2346.4
2024-10,12878.2,1281.0,2697.0,1416.0,11462.2,3235.4
2024-11,14743.3,1002.2,3041.8,2039.6,12703.7,4093.9
2024-12,15846.5,1103.5,3150.5,2046.9,13799.6,4750.9
2025-01,17367.7,849.3,3464.0,2614.7,14753.0,5215.8
2025-02,15904.0,488.4,3353.4,2865.0,13039.0,4513.1
2025-03,15046.1,985.1,2952.1,1967.0,13079.1,4157.2
2025-04,13008.6,681.4,2684.6,2003.2,11005.4,3186.9
2025-05,11599.3,1155.3,2414.4,1259.1,10340.2,2703.1
2025-06,10790.2,1078.6,2300.9,1222.2,9567.9,2218.9
2025-07,11463.8,853.1,3095.1,2242.0,9221.8,1847.9
2025-08,11226.3,947.0,2396.7,1449.8,9776.5,2102.0
2025-09,11549.1,892.1,2594.5,1702.4,9846.7,2337.8
2025-10,13205.2,1242.1,2804.4,1562.2,11643.0,3296.3
2025-11,14850.6,1050.7,2955.9,1905.1,12945.4,4173.3
2025-12,15782.2,1291.7,3298.7,2007.0,13775.2,4656.2
2026-01,17782.6,860.1,2459.7,1599.6,16183.0,6099.0
2026-02,13519.4,1774.0,990.6,-783.4,14302.8,5392.6
2026-03,12468.4,2374.5,1780.2,-594.3,13062.7,4338.2
2026-04,10730.0,2175.9,1513.4,-662.5,11392.6,3451.0
2026-05,11461.7,1462.6,2184.2,721.6,10740.1,2893.0
2026-06,11374.9,862.8,2345.0,1482.1,9892.8,2196.2
2026-07,10388.1,1459.1,2377.9,918.8,9469.3,2046.1
