y,np_variabel,tids_fe,bruksareal,innt_form,innt_enhet,spot_enhet,gradtall,vekting,utvalg,N,n_kommuner,b_egd,b_spot_enhet,b_np,b_innt_enhet,r2_within,r2_overall,r2_ols_dummyer,mean_y,avvik_egd,avvik_spot,avvik_np,avvik_innt,avvik_r2,r2_variant,avvik_koef_sum,avstand
log_kwh_per_maler,post_okt2025,ingen,med,lineaer,10000_kr,ore_per_kwh,base17,n_mp,egd_kommunestasjon,7869,170,0.0018733843897526397,-0.0003488392650058085,0.07533111043136773,0.003168780704492311,0.9608035014614306,0.1780069881011609,0.964776984827855,6.899626471620341,0.014008215919663293,0.302321469988383,0.08356313343834879,0.32032529353846295,0.02474776179760087,r2_within,0.720218112884858,0.7449658746824589
log_kwh_per_maler,post_okt2025,ingen,uten,lineaer,10000_kr,ore_per_kwh,base17,n_mp,egd_kommunestasjon,7869,170,0.0018734006837471202,-0.0003487661632660167,0.0755066921943938,0.003199010976864116,0.9608015386929596,0.2107061136031413,0.9647752210319495,6.899626471620341,0.013999640133094614,0.30246767346796666,0.08142710225798283,0.33292124036004844,0.024745668401194115,r2_within,0.7308156562190926,0.7555613246202867
log_kwh_per_maler,post_okt2025,ingen,med,lineaer,10000_kr,ore_per_kwh,base17,n_mp,pa_entydig,6426,126,0.0018645621017602668,-0.0003459015849007696,0.07433277779386172,0.0033789676426192444,0.9592905321147441,0.14913249629874414,0.9632168141761454,6.8791870903583,0.01865152538933325,0.3081968301984608,0.09570829934474794,0.40790318442468526,0.023134099951732236,r2_within,0.8304598393572272,0.8535939393089594
log_kwh_per_maler,post_okt2025,ingen,uten,lineaer,10000_kr,ore_per_kwh,base17,n_mp,pa_entydig,6426,126,0.001864618748582724,-0.0003460628546710219,0.074558274292471,0.0033990658146390356,0.9592813178178081,0.21585314865225247,0.9632084885650766,6.8791870903583,0.018621711272250534,0.30787429065795624,0.09296503293830896,0.41627742276626495,0.02312427241660424,r2_within,0.8357384576347806,0.8588627300513848
log_kwh,post_sep2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,uvektet,pa_entydig,6426,126,0.0019007872069754528,-0.0003627042198994218,0.07996397099810101,0.0009550466961249577,0.9353998496518948,0.15481664896158986,0.9929337763663995,15.411857521941595,0.0004143194607646099,0.27459156020115644,0.02720229929317496,0.6020638766146009,0.00234657673646029,r2_within,0.9042720555696969,0.9066186323061572
log_kwh,post_sep2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,uvektet,pa_entydig,6426,126,0.001900639618105173,-0.00036147668493315106,0.07985620593627368,0.0009605548488041081,0.9354164123216013,0.13099615116403585,0.9929355880576646,15.411857521941595,0.0003366411079857504,0.2770466301336979,0.028513309777692362,0.5997688129982882,0.0023289117730361107,r2_within,0.9056653940176642,0.9079943057907003
log_kwh,post_sep2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,uvektet,alle,10047,197,0.0018966299389868418,-0.0003522558135918641,0.08150628683681135,0.0009241329780005018,0.9401653186865168,0.15058443041745684,0.9936185326710231,15.495846165775767,0.0017737163227148525,0.29548837281627177,0.00843933288550659,0.6149445924997908,0.002736048087155259,r2_within,0.9206460145242841,0.9233820626114393
log_kwh,post_sep2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,uvektet,alle,10047,197,0.001896554088760408,-0.0003520110405651802,0.08135399814470355,0.0009239111272293368,0.9401744264629045,0.13136519425880944,0.9936195040303781,15.495846165775767,0.0018136374945220807,0.29597791886963964,0.010291993373436056,0.6150370303211097,0.00274576201248348,r2_within,0.9231205800587075,0.9258663420711909
log_kwh_per_maler,post_sep2025,ingen,med,lineaer,10000_kr,ore_per_kwh,base17,n_mp,egd_kommunestasjon,7869,170,0.0018836472610998538,-0.0003366779721960317,0.06487368338181958,0.0033169082113051114,0.96025088569493,0.16538446869076406,0.9642803896151816,6.899626471620341,0.008606704684287486,0.32664405560793663,0.2107824406104674,0.3820450880437965,0.024158367848688155,r2_within,0.928078288946488,0.9522366567951762
log_kwh,post_sep2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,uvektet,egd_kommunestasjon,7869,170,0.001902925432320052,-0.0003686154711156341,0.08515049337811297,0.000825444956462546,0.9380405632823847,0.10109459030830803,0.9936074241132327,15.633253985393724,0.001539701221079954,0.2627690577687318,0.03589408002570523,0.6560646014739391,0.00046988404691204315,r2_within,0.956267440489456,0.9567373245363681
