dimensjon,verdi,b_np,r2_within,r2_ols_dummyer,endring_vs_basis
(basislinje),"log kWh, 0/1 fra okt 2025, med bruksareal, inntekt lineær, ingen tids-FE, uvektet, alle kommuner",0.09503148043954106,0.9410390187863116,0.9937117142259302,0.0
Venstreside,log_kwh_per_maler,0.08396098030541413,0.9407959920922315,0.9496897791906349,-0.011070500134126929
Venstreside,kwh_nivaa,817867.1928510226,0.16385601877841682,0.8824699468922793,817867.0978195422
Venstreside,kwh_per_maler_nivaa,85.91449694673841,0.8705373772260823,0.887824381961653,85.81946546629887
Norgespris-variabel,post_sep2025,0.08135399814470355,0.9401744264629045,0.9936195040303781,-0.013677482294837506
Norgespris-variabel,andel_privat,0.1573328930698078,0.9415219180370079,0.9937632162265068,0.06230141263026674
Norgespris-variabel,andel_husholdning,0.1603977311883172,0.9411430614587256,0.9937228105483348,0.06536625074877615
Tids-FE,mnd,0.0716580150550681,0.9623228977876899,0.9959816749827962,-0.023373465384472963
Tids-FE,aar,0.09229656782309348,0.9424476993787071,0.9938619523316575,-0.0027349126164475795
Tids-FE (andel),aar_x_mnd + andel_privat,0.2408320152704666,0.6331477119070523,0.996961420808462,0.14580053483092553
Bruksareal,uten,0.09517862902350449,0.9410324757519921,0.9937110164005415,0.0001471485839634329
Inntektsform,log,0.09497672369601742,0.9410306309263663,0.9937108196468495,-5.475674352363458e-05
Vekting,n_mp,0.0858839780215802,0.9591260441245203,0.9973254177549256,-0.009147502417960862
Utvalg,pa_entydig,0.09375170129784043,0.936267609408026,0.993028695410148,-0.0012797791417006321
Utvalg,egd_kommunestasjon,0.09958131793097419,0.9389943954370356,0.9937058343757345,0.004549837491433131
Gradtall,base18,0.0931629717928458,0.9400281273034725,0.9936039009840232,-0.0018685086466952577
