knr,kommune,var_pa,var_pa_kilde,kilde_pa,kilde_url,kilde_hentet,i_panel,samsvar
3320,Flå,NO5,nve,NO5,https://www.vg.no/stromprisen/kommune/flå/,2026-09-05,True,samsvar
3322,Nesbyen,NO5,nve,NO5,https://www.vg.no/stromprisen/kommune/nesbyen/,2026-09-05,True,samsvar
3324,Gol,NO5,nve,NO5,https://www.vg.no/stromprisen/kommune/gol/,2026-09-05,True,samsvar
3326,Hemsedal,NO5,nve,NO5,https://www.vg.no/stromprisen/kommune/hemsedal/,2026-09-05,True,samsvar
3328,Ål,NO5,nve,NO5,https://www.vg.no/stromprisen/kommune/ål/,2026-09-05,True,samsvar
3330,Hol,NO5,nve,NO5,https://www.vg.no/stromprisen/kommune/hol/,2026-09-05,True,samsvar
3431,Dovre,NO3,nve,NO3,https://www.vg.no/stromprisen/kommune/dovre/,2026-09-05,False,samsvar
3432,Lesja,NO3,nve,NO3,https://www.vg.no/stromprisen/kommune/lesja/,2026-09-05,False,samsvar
3433,Skjåk,NO3,nve,NO3,https://www.vg.no/stromprisen/kommune/skjåk/,2026-09-05,False,samsvar
3434,Lom,NO3,nve,NO3,https://www.vg.no/stromprisen/kommune/lom/,2026-09-05,False,samsvar
3435,Vågå,NO3,nve,NO3,https://www.vg.no/stromprisen/kommune/vågå/,2026-09-05,False,samsvar
3437,Sel,NO3,nve,,https://www.vg.no/stromprisen/kommune/sel/,2026-09-05,False,ikke_verifisert
4602,Kinn,NO3,nve,NO3,https://www.vg.no/stromprisen/kommune/kinn/,2026-09-05,False,samsvar
4611,Etne,NO2,nve,NO2,https://www.vg.no/stromprisen/kommune/etne/,2026-09-05,True,samsvar
4612,Sveio,NO2,unntak,NO2,https://www.vg.no/stromprisen/kommune/sveio/,2026-09-05,True,samsvar
4613,Bømlo,NO2,unntak,NO2,https://www.vg.no/stromprisen/kommune/bømlo/,2026-09-05,True,samsvar
4614,Stord,NO2,nve,NO2,https://www.vg.no/stromprisen/kommune/stord/,2026-09-05,True,samsvar
4615,Fitjar,NO2,nve,NO2,https://www.vg.no/stromprisen/kommune/fitjar/,2026-09-05,True,samsvar
4616,Tysnes,NO2,nve,NO2,https://www.vg.no/stromprisen/kommune/tysnes/,2026-09-05,True,samsvar
4637,Hyllestad,NO3,nve,NO3,https://www.vg.no/stromprisen/kommune/hyllestad/,2026-09-05,False,samsvar
4645,Askvoll,NO3,nve,NO3,https://www.vg.no/stromprisen/kommune/askvoll/,2026-09-05,False,samsvar
4646,Fjaler,NO3,nve,NO3,https://www.vg.no/stromprisen/kommune/fjaler/,2026-09-05,False,samsvar
4647,Sunnfjord,NO3,nve,NO3,https://www.vg.no/stromprisen/kommune/sunnfjord/,2026-09-05,False,samsvar
4648,Bremanger,NO3,nve,NO3,https://www.vg.no/stromprisen/kommune/bremanger/,2026-09-05,False,samsvar
4649,Stad,NO3,nve,NO3,https://www.vg.no/stromprisen/kommune/stad/,2026-09-05,False,samsvar
4650,Gloppen,NO3,nve,NO3,https://www.vg.no/stromprisen/kommune/gloppen/,2026-09-05,False,samsvar
4651,Stryn,NO3,nve,NO3,https://www.vg.no/stromprisen/kommune/stryn/,2026-09-05,False,samsvar
5042,Lierne,NO4,nve,NO4,https://www.vg.no/stromprisen/kommune/lierne/,2026-09-05,False,samsvar
5044,Namsskogan,NO4,nve,NO4,https://www.vg.no/stromprisen/kommune/namsskogan/,2026-09-05,False,samsvar
