knr,kommune,url,status,pa_funnet,n_treff,var_pa,fil,samsvar
3320,Flå,https://www.vg.no/stromprisen/kommune/flå/,200,NO5,1,NO5,data\raw\vg\3320_flå.html,True
3322,Nesbyen,https://www.vg.no/stromprisen/kommune/nesbyen/,200,NO5,1,NO5,data\raw\vg\3322_nesbyen.html,True
3324,Gol,https://www.vg.no/stromprisen/kommune/gol/,200,NO5,1,NO5,data\raw\vg\3324_gol.html,True
3326,Hemsedal,https://www.vg.no/stromprisen/kommune/hemsedal/,200,NO5,1,NO5,data\raw\vg\3326_hemsedal.html,True
3328,Ål,https://www.vg.no/stromprisen/kommune/ål/,200,NO5,1,NO5,data\raw\vg\3328_ål.html,True
3330,Hol,https://www.vg.no/stromprisen/kommune/hol/,200,NO5,1,NO5,data\raw\vg\3330_hol.html,True
3431,Dovre,https://www.vg.no/stromprisen/kommune/dovre/,200,NO3,1,NO3,data\raw\vg\3431_dovre.html,True
3432,Lesja,https://www.vg.no/stromprisen/kommune/lesja/,200,NO3,1,NO3,data\raw\vg\3432_lesja.html,True
3433,Skjåk,https://www.vg.no/stromprisen/kommune/skjåk/,200,NO3,1,NO3,data\raw\vg\3433_skjåk.html,True
3434,Lom,https://www.vg.no/stromprisen/kommune/lom/,200,NO3,1,NO3,data\raw\vg\3434_lom.html,True
3435,Vågå,https://www.vg.no/stromprisen/kommune/vågå/,200,NO3,1,NO3,data\raw\vg\3435_vågå.html,True
3437,Sel,https://www.vg.no/stromprisen/kommune/sel/,404,,0,NO3,data\raw\vg\3437_sel.html,False
3437,Sel,https://www.vg.no/stromprisen/kommune/sel-kommune/,404,,0,NO3,data\raw\vg\3437_sel-kommune.html,False
3437,Sel,https://www.vg.no/stromprisen/kommune/sel-innlandet/,404,,0,NO3,data\raw\vg\3437_sel-innlandet.html,False
4602,Kinn,https://www.vg.no/stromprisen/kommune/kinn/,200,NO3,1,NO3,data\raw\vg\4602_kinn.html,True
4611,Etne,https://www.vg.no/stromprisen/kommune/etne/,200,NO2,1,NO2,data\raw\vg\4611_etne.html,True
4612,Sveio,https://www.vg.no/stromprisen/kommune/sveio/,200,NO2,1,NO2,data\raw\vg\4612_sveio.html,True
4613,Bømlo,https://www.vg.no/stromprisen/kommune/bømlo/,200,NO2,1,NO2,data\raw\vg\4613_bømlo.html,True
4614,Stord,https://www.vg.no/stromprisen/kommune/stord/,200,NO2,1,NO2,data\raw\vg\4614_stord.html,True
4615,Fitjar,https://www.vg.no/stromprisen/kommune/fitjar/,200,NO2,1,NO2,data\raw\vg\4615_fitjar.html,True
4616,Tysnes,https://www.vg.no/stromprisen/kommune/tysnes/,200,NO2,1,NO2,data\raw\vg\4616_tysnes.html,True
4637,Hyllestad,https://www.vg.no/stromprisen/kommune/hyllestad/,200,NO3,1,NO3,data\raw\vg\4637_hyllestad.html,True
4645,Askvoll,https://www.vg.no/stromprisen/kommune/askvoll/,200,NO3,1,NO3,data\raw\vg\4645_askvoll.html,True
4646,Fjaler,https://www.vg.no/stromprisen/kommune/fjaler/,200,NO3,1,NO3,data\raw\vg\4646_fjaler.html,True
4647,Sunnfjord,https://www.vg.no/stromprisen/kommune/sunnfjord/,200,NO3,1,NO3,data\raw\vg\4647_sunnfjord.html,True
4648,Bremanger,https://www.vg.no/stromprisen/kommune/bremanger/,200,NO3,1,NO3,data\raw\vg\4648_bremanger.html,True
4649,Stad,https://www.vg.no/stromprisen/kommune/stad/,200,NO3,1,NO3,data\raw\vg\4649_stad.html,True
4650,Gloppen,https://www.vg.no/stromprisen/kommune/gloppen/,200,NO3,1,NO3,data\raw\vg\4650_gloppen.html,True
4651,Stryn,https://www.vg.no/stromprisen/kommune/stryn/,200,NO3,1,NO3,data\raw\vg\4651_stryn.html,True
5042,Lierne,https://www.vg.no/stromprisen/kommune/lierne/,200,NO4,1,NO4,data\raw\vg\5042_lierne.html,True
5044,Namsskogan,https://www.vg.no/stromprisen/kommune/namsskogan/,200,NO4,1,NO4,data\raw\vg\5044_namsskogan.html,True
