maned,produksjon_gwh_statnett,forbruk_gwh_statnett,prod_minus_forbruk_gwh,import_gwh_statnett,eksport_gwh_statnett,nettoeksport_gwh_statnett,nettoeksport_gwh_ssb,produksjon_gwh_ssb
2021-01,17512.9,14964.5,2548.4,,,,1864.0,17451.9
2021-02,14407.6,12963.8,1443.9,,,,450.5,14411.6
2021-03,13774.1,12783.4,990.7,,,,621.2,13789.7
2021-04,12443.0,11165.4,1277.6,,,,812.2,12427.2
2021-05,11910.5,10147.2,1763.3,,,,1432.7,12079.9
2021-06,11559.3,8393.0,3166.3,,,,2292.6,11426.5
2021-07,11034.4,8510.0,2524.4,,,,2235.3,11050.8
2021-08,10415.8,8966.5,1449.3,,,,1183.5,10398.6
2021-09,11250.0,8597.0,2653.1,,,,1744.2,11234.9
2021-10,12249.1,10618.8,1630.3,,,,1259.7,12359.5
2021-11,14398.5,11647.0,2751.6,,,,2010.0,14420.1
2021-12,15985.2,13865.4,2119.7,,,,1677.8,16042.2
2022-01,14989.1,13428.2,1560.9,,,,1215.2,15079.2
2022-02,12945.5,12159.2,786.3,,,,446.6,12949.4
2022-03,14635.8,12161.3,2474.5,,,,2122.6,14614.7
2022-04,11137.1,10748.9,388.2,,,,131.3,11140.8
2022-05,10487.9,9848.6,639.3,,,,586.2,10783.8
2022-06,10980.7,8712.4,2268.3,,,,2220.7,11479.7
2022-07,10128.2,8633.1,1495.1,,,,1437.8,10663.9
2022-08,10268.7,8806.8,1461.9,,,,1309.2,10462.5
2022-09,8410.1,8914.2,-504.1,,,,-692.4,8579.0
2022-10,10596.6,10341.9,254.8,,,,124.5,11018.5
2022-11,14153.8,11127.7,3026.2,,,,2721.7,14321.4
2022-12,14855.3,13524.1,1331.3,,,,898.1,14850.0
2023-01,14112.6,13274.8,837.8,,,,464.6,14139.5
2023-02,13789.2,11639.1,2150.2,,,,1807.2,13781.3
2023-03,14400.4,13099.8,1300.6,,,,904.6,14299.9
2023-04,12004.8,10642.3,1362.5,,,,1146.9,12003.4
2023-05,10725.0,9528.8,1196.2,,,,1089.0,11122.7
2023-06,10770.9,8279.6,2491.4,,,,2363.3,11333.2
2023-07,10971.8,8331.4,2640.5,,,,2482.5,11480.2
2023-08,12082.9,8790.8,3292.1,,,,3042.1,12198.7
2023-09,11803.7,8777.1,3026.6,,,,2775.8,12003.9
2023-10,13189.5,11328.6,1861.0,,,,1545.4,13364.5
2023-11,14321.0,12944.3,1376.7,,,,956.6,14283.4
2023-12,14014.3,14425.6,-411.3,,,,-839.5,13964.6
2024-01,15746.4,14999.2,747.2,,,,247.2,15629.1
2024-02,14399.2,13093.0,1306.2,,,,913.8,14293.4
2024-03,14565.6,12552.1,2013.5,,,,1659.4,14485.5
2024-04,12413.2,11151.9,1261.3,,,,1022.3,12465.7
2024-05,11295.9,9293.0,2002.9,,,,1918.9,11752.6
2024-06,10927.6,8880.2,2047.4,,,,1891.4,11282.1
2024-07,10710.0,8616.6,2093.3,,,,1868.3,11094.8
2024-08,10804.6,9045.4,1759.2,,,,1561.9,11104.1
2024-09,11421.3,9287.6,2133.7,,,,1853.1,11578.5
2024-10,12745.3,11053.3,1692.1,,,,1416.0,12878.2
2024-11,14715.0,12277.0,2438.1,,,,2039.6,14743.3
2024-12,15835.1,13380.4,2454.7,,,,2046.9,15846.5
2025-01,17298.4,14790.3,2508.1,776.9,3362.3,2585.5,2614.7,17367.7
2025-02,15838.5,13045.3,2793.2,415.0,3248.0,2833.0,2865.0,15904.0
2025-03,10174.8,12914.1,-2739.3,904.6,2846.5,1941.9,1967.0,15046.1
2025-04,9765.5,10864.8,-1099.3,608.9,2597.0,1988.0,2003.2,13008.6
2025-05,11329.8,10084.9,1245.0,1116.9,2360.0,1243.1,1259.1,11599.3
2025-06,10526.6,9196.3,1330.4,1058.4,2256.2,1197.8,1222.2,10790.2
2025-07,11307.8,9018.2,2289.6,822.1,3021.4,2199.3,2242.0,11463.8
2025-08,11013.3,9658.4,1354.9,916.0,2329.3,1413.3,1449.8,11226.3
2025-09,11379.7,9659.5,1720.2,859.4,2522.2,1662.8,1702.4,11549.1
2025-10,12997.2,11317.6,1679.5,1210.6,2740.4,1529.8,1562.2,13205.2
2025-11,14648.3,12677.0,1971.3,430.6,2866.8,2436.3,1905.1,14850.6
2025-12,15610.4,13505.6,2104.8,1241.7,3224.1,1982.4,2007.0,15782.2
2026-01,17726.7,16095.9,1630.8,812.3,2400.0,1587.7,1599.6,17782.6
2026-02,13485.1,14246.7,-761.6,1742.8,957.2,-785.6,-783.4,13519.4
2026-03,12331.1,12884.1,-552.9,2341.5,1725.2,-616.3,-594.3,12468.4
2026-04,10519.5,11124.7,-605.2,2146.3,1469.2,-677.1,-662.5,10730.0
2026-05,11193.6,10338.7,854.9,1425.4,2127.6,702.1,721.6,11461.7
2026-06,11078.4,9331.9,1746.5,793.3,2260.3,1466.9,1482.1,11374.9
2026-07,10138.6,9172.6,966.0,1451.1,2348.6,897.5,918.8,10388.1
2026-08,10161.8,9634.8,527.0,1454.6,1917.0,462.4,,
2026-09,6607.3,6358.5,248.8,742.9,940.4,197.6,,
