aar,omrade,nedbor_twh_uke1_37,nedbor_avvik_snitt_twh,tilsig_twh_uke1_37,tilsig_avvik_snitt_twh,hydrologisk_balanse_twh,avvik_magasin_twh,avvik_sno_grunn_markvann_twh,kilde
2026,Noreg,65.8,-16.5,84.2,-21.6,-14.7,-13.9,-0.8,NVE Kraftsituasjonen veke 37 2026 tabell 4 og 5 (snitt 2006-2025)
2026,NO1,7.5,-2.3,11.1,-1.3,-1.2,-0.9,-0.3,NVE Kraftsituasjonen veke 37 2026
2026,NO2,17.8,-7.6,25.1,-6.2,-10.8,-10.4,-0.4,NVE Kraftsituasjonen veke 37 2026
2026,NO3,10.8,-3.6,11.1,-7.5,-1.6,-1.5,-0.1,NVE Kraftsituasjonen veke 37 2026
2026,NO4,13.6,-0.6,17.5,-1.3,2.5,2.2,0.3,NVE Kraftsituasjonen veke 37 2026
2026,NO5,16.1,-2.5,19.5,-5.2,-3.4,-3.1,-0.3,NVE Kraftsituasjonen veke 37 2026
2025,Noreg,87.7,2.2,100.3,-6.2,-0.9,-2.1,1.3,NVE Kraftsituasjonen veke 37 2025 tabell 4 og 5 (snitt 2005-2024)
2025,NO1,9.1,-0.8,12.5,0.0,0.2,-0.4,0.6,NVE Kraftsituasjonen veke 37 2025
2025,NO2,24.0,-1.9,30.1,-1.6,-3.7,-4.7,1.0,NVE Kraftsituasjonen veke 37 2025
2025,NO3,15.6,0.7,15.6,-3.1,0.2,0.6,-0.4,NVE Kraftsituasjonen veke 37 2025
2025,NO4,18.4,3.2,18.8,0.0,3.0,3.2,-0.2,NVE Kraftsituasjonen veke 37 2025
2025,NO5,20.8,1.1,23.4,-1.4,-0.3,-0.5,0.2,NVE Kraftsituasjonen veke 37 2025
