modell,term,koef,pst,se_cluster,p_cluster_t,p_wcb,ki_wcb_lav,ki_wcb_hoy,ki_t_lav,ki_t_hoy,G,vekttype,B,se_wcb_intern,t_wcb_intern,N
D7 område×måned×EAC-FE + sesong per EAC,bestilt_post,0.029880493831513134,3.0331395638404812,0.0028396513037476263,7.263361165600548e-11,0.001,0.024227021763099318,0.036596749319697454,0.02404350698117927,0.035717480681847,27,rademacher,999,0.00280861593142299,10.638867884073079,837
D7 tidlig/sent,tidlig_post,0.03094415044645852,3.1427897490306833,0.0029866057385466186,1.0079552706121781e-10,0.001,0.025074466747413364,0.037606834342377424,0.024805094429256203,0.03708320646366084,27,rademacher,999,0.0029538992641674196,10.475695912147158,837
D7 tidlig/sent,sent_post,0.028610176711826203,2.9023379001434035,0.003201503606696982,2.087662336793942e-09,0.001,0.022080751273179215,0.03547740164808833,0.02202939180033922,0.035190961623313186,27,rademacher,999,0.003166443774620666,9.035428622226904,837
D7 placebo okt 2024,bestilt_post,-0.001899285898546231,-0.1897483396420263,0.0012443358243191492,0.13899817409952,0.14,-0.004158063293212432,0.0010435783641927826,-0.004457054816992189,0.0006584830198997278,27,rademacher,999,0.0012261934428126435,-1.5489284416665765,648
E1 sesong per kohort,sent_post,0.013102164999851978,1.3188374462444585,0.0075618199945257526,0.09500167525035823,0.09,-0.0018627264155974465,0.028174602880718786,-0.002441378608614002,0.028645708608317957,27,rademacher,999,0.007448588487483273,1.7590131368086033,837
E1 sesong per kohort,sent_dose,0.020923247601493115,2.114367340355461,0.009153337228789882,0.030657420668667893,0.015,0.004769089710817447,0.039226284168671896,0.0021082934658897302,0.039738201737096496,27,rademacher,999,0.009016274171265883,2.320609067954345,837
"E4 sesong per kohort, sent kun via dose",sent_dose,0.03642033984518202,3.7091685842850497,0.0034289417272504105,5.953529217835695e-11,0.001,0.030070252580047137,0.0434214031742338,0.029372049181427856,0.04346863050893618,27,rademacher,999,0.0033777059920895415,10.782566608956055,837
E6 Husholdning Høy (9 klustre),tidlig_post,0.02357218079899681,2.385220054941395,0.002802934240490985,3.042489309688435e-05,0.033,0.01250605699094062,0.03463830460723308,0.017108602849719254,0.03003575874827437,9,rademacher,999,0.0027665309520365578,8.520483308431592,279
E6 Husholdning Høy (9 klustre),tidlig_post,0.02357218079899681,2.385220054941395,0.002802934240490985,3.042489309688435e-05,0.021,0.01250605699094062,0.03463830460723308,0.017108602849719254,0.03003575874827437,9,webb,999,0.0027665309520365578,8.520483308431592,279
E6 Husholdning Høy (9 klustre),sent_dose,0.006365652315459935,0.6385956139658866,0.00966303533319392,0.5285482840156243,0.398,-0.015937508888756252,0.04260828927203031,-0.01591734712150921,0.02864865175242908,9,rademacher,999,0.009537536041230893,0.6674315345005368,279
