pa,maned,dose
NO1,2025-10,0.23005854210310883
NO1,2025-11,0.48123300136291075
NO1,2025-12,0.646181866072641
NO1,2026-01,0.7842267908878571
NO1,2026-02,0.8913577325698272
NO1,2026-03,0.9532967509317856
NO1,2026-04,0.987010877114575
NO2,2025-10,0.2587695369926057
NO2,2025-11,0.5215785719674368
NO2,2025-12,0.6857525056531092
NO2,2026-01,0.8109215015932244
NO2,2026-02,0.9068232487118667
NO2,2026-03,0.9603477616209806
NO2,2026-04,0.9898775109904052
NO5,2025-10,0.1745634020136475
NO5,2025-11,0.40731958799923834
NO5,2025-12,0.5949202318416923
NO5,2026-01,0.7632721233346069
NO5,2026-02,0.8822529065515389
NO5,2026-03,0.9461925206682398
NO5,2026-04,0.9860419832656127
