modell,nullverdi,p_wcr,akseptert_5pst
D7_g_B999,0.015837414174397095,0.001,0
D7_g_B999,0.01584443571422565,0.001,0
D7_g_B999,0.01585145725405421,0.001,0
D7_g_B999,0.015858478793882767,0.001,0
D7_g_B999,0.015865500333711324,0.001,0
D7_g_B999,0.015872521873539883,0.001,0
D7_g_B999,0.01587954341336844,0.001,0
D7_g_B999,0.015886564953196996,0.001,0
D7_g_B999,0.015893586493025556,0.001,0
D7_g_B999,0.015900608032854112,0.001,0
D7_g_B999,0.015907629572682668,0.001,0
D7_g_B999,0.015914651112511228,0.001,0
D7_g_B999,0.015921672652339784,0.001,0
D7_g_B999,0.015928694192168344,0.001,0
D7_g_B999,0.0159357157319969,0.001,0
D7_g_B999,0.015942737271825456,0.001,0
D7_g_B999,0.015949758811654016,0.001,0
D7_g_B999,0.015956780351482572,0.001,0
D7_g_B999,0.01596380189131113,0.001,0
D7_g_B999,0.01597082343113969,0.001,0
D7_g_B999,0.015977844970968245,0.001,0
D7_g_B999,0.0159848665107968,0.001,0
D7_g_B999,0.01599188805062536,0.001,0
D7_g_B999,0.015998909590453917,0.001,0
D7_g_B999,0.016005931130282473,0.001,0
D7_g_B999,0.016012952670111033,0.001,0
D7_g_B999,0.01601997420993959,0.001,0
D7_g_B999,0.016026995749768146,0.001,0
D7_g_B999,0.016034017289596705,0.001,0
D7_g_B999,0.01604103882942526,0.001,0
D7_g_B999,0.016048060369253818,0.001,0
D7_g_B999,0.016055081909082378,0.001,0
D7_g_B999,0.016062103448910934,0.001,0
D7_g_B999,0.01606912498873949,0.001,0
D7_g_B999,0.01607614652856805,0.001,0
D7_g_B999,0.016083168068396606,0.001,0
D7_g_B999,0.016090189608225162,0.001,0
D7_g_B999,0.016097211148053722,0.001,0
D7_g_B999,0.01610423268788228,0.001,0
D7_g_B999,0.016111254227710838,0.001,0
D7_g_B999,0.016118275767539395,0.001,0
D7_g_B999,0.01612529730736795,0.001,0
D7_g_B999,0.01613231884719651,0.001,0
D7_g_B999,0.016139340387025067,0.001,0
D7_g_B999,0.016146361926853623,0.001,0
D7_g_B999,0.016153383466682183,0.001,0
D7_g_B999,0.01616040500651074,0.001,0
D7_g_B999,0.016167426546339295,0.001,0
D7_g_B999,0.016174448086167855,0.001,0
D7_g_B999,0.01618146962599641,0.001,0
D7_g_B999,0.016188491165824968,0.001,0
D7_g_B999,0.016195512705653527,0.001,0
D7_g_B999,0.016202534245482084,0.001,0
D7_g_B999,0.01620955578531064,0.001,0
D7_g_B999,0.0162165773251392,0.001,0
D7_g_B999,0.016223598864967756,0.001,0
D7_g_B999,0.016230620404796312,0.001,0
D7_g_B999,0.016237641944624872,0.001,0
D7_g_B999,0.016244663484453428,0.001,0
D7_g_B999,0.016251685024281984,0.001,0
D7_g_B999,0.016258706564110544,0.001,0
D7_g_B999,0.0162657281039391,0.001,0
D7_g_B999,0.016272749643767657,0.001,0
D7_g_B999,0.016279771183596217,0.001,0
D7_g_B999,0.016286792723424773,0.001,0
D7_g_B999,0.016293814263253333,0.001,0
D7_g_B999,0.01630083580308189,0.001,0
D7_g_B999,0.016307857342910445,0.001,0
D7_g_B999,0.016314878882739005,0.001,0
D7_g_B999,0.01632190042256756,0.001,0
D7_g_B999,0.016328921962396117,0.001,0
D7_g_B999,0.016335943502224677,0.001,0
D7_g_B999,0.016342965042053233,0.001,0
D7_g_B999,0.01634998658188179,0.001,0
D7_g_B999,0.01635700812171035,0.001,0
D7_g_B999,0.016364029661538906,0.001,0
D7_g_B999,0.016371051201367462,0.001,0
D7_g_B999,0.01637807274119602,0.001,0
D7_g_B999,0.016385094281024578,0.001,0
D7_g_B999,0.016392115820853134,0.001,0
D7_g_B999,0.016399137360681694,0.001,0
D7_g_B999,0.01640615890051025,0.001,0
D7_g_B999,0.016413180440338807,0.001,0
D7_g_B999,0.016420201980167366,0.001,0
D7_g_B999,0.016427223519995923,0.001,0
D7_g_B999,0.01643424505982448,0.001,0
D7_g_B999,0.01644126659965304,0.001,0
D7_g_B999,0.016448288139481595,0.001,0
D7_g_B999,0.01645530967931015,0.001,0
D7_g_B999,0.01646233121913871,0.001,0
D7_g_B999,0.016469352758967267,0.001,0
D7_g_B999,0.016476374298795827,0.001,0
D7_g_B999,0.016483395838624383,0.001,0
D7_g_B999,0.01649041737845294,0.001,0
D7_g_B999,0.0164974389182815,0.001,0
D7_g_B999,0.016504460458110055,0.001,0
D7_g_B999,0.01651148199793861,0.001,0
D7_g_B999,0.01651850353776717,0.001,0
D7_g_B999,0.016525525077595728,0.001,0
D7_g_B999,0.016532546617424284,0.001,0
D7_g_B999,0.016539568157252844,0.001,0
D7_g_B999,0.0165465896970814,0.001,0
D7_g_B999,0.016553611236909956,0.001,0
D7_g_B999,0.016560632776738516,0.001,0
D7_g_B999,0.016567654316567072,0.001,0
D7_g_B999,0.01657467585639563,0.001,0
D7_g_B999,0.01658169739622419,0.001,0
D7_g_B999,0.016588718936052745,0.001,0
D7_g_B999,0.0165957404758813,0.001,0
D7_g_B999,0.01660276201570986,0.001,0
D7_g_B999,0.016609783555538417,0.001,0
D7_g_B999,0.016616805095366973,0.001,0
D7_g_B999,0.016623826635195533,0.001,0
D7_g_B999,0.01663084817502409,0.001,0
D7_g_B999,0.01663786971485265,0.001,0
D7_g_B999,0.016644891254681205,0.001,0
D7_g_B999,0.01665191279450976,0.001,0
D7_g_B999,0.01665893433433832,0.001,0
D7_g_B999,0.016665955874166877,0.001,0
D7_g_B999,0.016672977413995434,0.001,0
D7_g_B999,0.016679998953823993,0.001,0
D7_g_B999,0.01668702049365255,0.001,0
D7_g_B999,0.016694042033481106,0.001,0
D7_g_B999,0.016701063573309666,0.001,0
D7_g_B999,0.016708085113138222,0.001,0
D7_g_B999,0.01671510665296678,0.001,0
D7_g_B999,0.016722128192795338,0.001,0
D7_g_B999,0.016729149732623894,0.001,0
D7_g_B999,0.01673617127245245,0.001,0
D7_g_B999,0.01674319281228101,0.001,0
D7_g_B999,0.016750214352109567,0.001,0
D7_g_B999,0.016757235891938123,0.001,0
D7_g_B999,0.016764257431766683,0.001,0
D7_g_B999,0.01677127897159524,0.001,0
D7_g_B999,0.016778300511423795,0.001,0
D7_g_B999,0.016785322051252355,0.001,0
D7_g_B999,0.01679234359108091,0.001,0
D7_g_B999,0.016799365130909467,0.001,0
D7_g_B999,0.016806386670738027,0.001,0
D7_g_B999,0.016813408210566583,0.001,0
D7_g_B999,0.01682042975039514,0.001,0
D7_g_B999,0.0168274512902237,0.001,0
D7_g_B999,0.016834472830052256,0.001,0
D7_g_B999,0.016841494369880815,0.001,0
D7_g_B999,0.016848515909709372,0.001,0
D7_g_B999,0.016855537449537928,0.001,0
D7_g_B999,0.016862558989366488,0.001,0
D7_g_B999,0.016869580529195044,0.001,0
D7_g_B999,0.0168766020690236,0.001,0
D7_g_B999,0.01688362360885216,0.001,0
D7_g_B999,0.016890645148680716,0.001,0
D7_g_B999,0.016897666688509273,0.001,0
D7_g_B999,0.016904688228337832,0.001,0
D7_g_B999,0.01691170976816639,0.001,0
D7_g_B999,0.016918731307994945,0.001,0
D7_g_B999,0.016925752847823505,0.001,0
D7_g_B999,0.01693277438765206,0.001,0
D7_g_B999,0.016939795927480617,0.001,0
D7_g_B999,0.016946817467309177,0.001,0
D7_g_B999,0.016953839007137733,0.001,0
D7_g_B999,0.01696086054696629,0.001,0
D7_g_B999,0.01696788208679485,0.001,0
D7_g_B999,0.016974903626623405,0.001,0
D7_g_B999,0.016981925166451965,0.001,0
D7_g_B999,0.01698894670628052,0.001,0
D7_g_B999,0.016995968246109078,0.001,0
D7_g_B999,0.017002989785937637,0.001,0
D7_g_B999,0.017010011325766194,0.001,0
D7_g_B999,0.01701703286559475,0.001,0
D7_g_B999,0.01702405440542331,0.001,0
D7_g_B999,0.017031075945251866,0.001,0
D7_g_B999,0.017038097485080422,0.001,0
D7_g_B999,0.017045119024908982,0.001,0
D7_g_B999,0.01705214056473754,0.001,0
D7_g_B999,0.017059162104566095,0.001,0
D7_g_B999,0.017066183644394654,0.001,0
D7_g_B999,0.01707320518422321,0.001,0
D7_g_B999,0.017080226724051767,0.001,0
D7_g_B999,0.017087248263880327,0.001,0
D7_g_B999,0.017094269803708883,0.001,0
D7_g_B999,0.01710129134353744,0.001,0
D7_g_B999,0.017108312883366,0.001,0
D7_g_B999,0.017115334423194555,0.001,0
D7_g_B999,0.01712235596302311,0.001,0
D7_g_B999,0.01712937750285167,0.001,0
D7_g_B999,0.017136399042680227,0.001,0
D7_g_B999,0.017143420582508784,0.001,0
D7_g_B999,0.017150442122337343,0.001,0
D7_g_B999,0.0171574636621659,0.001,0
D7_g_B999,0.017164485201994456,0.001,0
D7_g_B999,0.017171506741823016,0.001,0
D7_g_B999,0.017178528281651572,0.001,0
D7_g_B999,0.01718554982148013,0.001,0
D7_g_B999,0.017192571361308688,0.001,0
D7_g_B999,0.017199592901137244,0.001,0
D7_g_B999,0.017206614440965804,0.001,0
D7_g_B999,0.01721363598079436,0.001,0
D7_g_B999,0.017220657520622917,0.001,0
D7_g_B999,0.017227679060451476,0.001,0
D7_g_B999,0.017234700600280033,0.001,0
D7_g_B999,0.01724172214010859,0.001,0
D7_g_B999,0.01724874367993715,0.001,0
D7_g_B999,0.017255765219765705,0.001,0
D7_g_B999,0.01726278675959426,0.001,0
D7_g_B999,0.01726980829942282,0.001,0
D7_g_B999,0.017276829839251377,0.001,0
D7_g_B999,0.017283851379079933,0.001,0
D7_g_B999,0.017290872918908493,0.001,0
D7_g_B999,0.01729789445873705,0.001,0
D7_g_B999,0.017304915998565606,0.001,0
D7_g_B999,0.017311937538394166,0.001,0
D7_g_B999,0.017318959078222722,0.001,0
D7_g_B999,0.017325980618051278,0.001,0
D7_g_B999,0.017333002157879838,0.001,0
D7_g_B999,0.017340023697708394,0.001,0
D7_g_B999,0.017347045237536954,0.001,0
D7_g_B999,0.01735406677736551,0.001,0
D7_g_B999,0.017361088317194066,0.001,0
D7_g_B999,0.017368109857022626,0.001,0
D7_g_B999,0.017375131396851182,0.001,0
D7_g_B999,0.01738215293667974,0.001,0
D7_g_B999,0.0173891744765083,0.001,0
D7_g_B999,0.017396196016336855,0.001,0
D7_g_B999,0.01740321755616541,0.001,0
D7_g_B999,0.01741023909599397,0.001,0
D7_g_B999,0.017417260635822527,0.001,0
D7_g_B999,0.017424282175651083,0.001,0
D7_g_B999,0.017431303715479643,0.001,0
D7_g_B999,0.0174383252553082,0.001,0
D7_g_B999,0.017445346795136756,0.001,0
D7_g_B999,0.017452368334965315,0.001,0
D7_g_B999,0.01745938987479387,0.001,0
D7_g_B999,0.017466411414622428,0.001,0
D7_g_B999,0.017473432954450988,0.001,0
D7_g_B999,0.017480454494279544,0.001,0
D7_g_B999,0.0174874760341081,0.001,0
D7_g_B999,0.01749449757393666,0.001,0
D7_g_B999,0.017501519113765216,0.001,0
D7_g_B999,0.017508540653593772,0.001,0
D7_g_B999,0.017515562193422332,0.001,0
D7_g_B999,0.01752258373325089,0.001,0
D7_g_B999,0.017529605273079445,0.001,0
D7_g_B999,0.017536626812908004,0.001,0
D7_g_B999,0.01754364835273656,0.001,0
D7_g_B999,0.017550669892565117,0.001,0
D7_g_B999,0.017557691432393677,0.001,0
D7_g_B999,0.017564712972222233,0.001,0
D7_g_B999,0.017571734512050793,0.001,0
D7_g_B999,0.01757875605187935,0.001,0
D7_g_B999,0.017585777591707905,0.001,0
D7_g_B999,0.017592799131536465,0.001,0
D7_g_B999,0.01759982067136502,0.001,0
D7_g_B999,0.017606842211193578,0.001,0
D7_g_B999,0.017613863751022137,0.001,0
D7_g_B999,0.017620885290850694,0.001,0
D7_g_B999,0.01762790683067925,0.001,0
D7_g_B999,0.01763492837050781,0.001,0
D7_g_B999,0.017641949910336366,0.001,0
D7_g_B999,0.017648971450164922,0.001,0
D7_g_B999,0.017655992989993482,0.001,0
D7_g_B999,0.017663014529822038,0.001,0
D7_g_B999,0.017670036069650594,0.001,0
D7_g_B999,0.017677057609479154,0.001,0
D7_g_B999,0.01768407914930771,0.001,0
D7_g_B999,0.017691100689136267,0.001,0
D7_g_B999,0.017698122228964826,0.001,0
D7_g_B999,0.017705143768793383,0.001,0
D7_g_B999,0.017712165308621942,0.001,0
D7_g_B999,0.0177191868484505,0.001,0
D7_g_B999,0.017726208388279055,0.001,0
D7_g_B999,0.017733229928107615,0.001,0
D7_g_B999,0.01774025146793617,0.001,0
D7_g_B999,0.017747273007764727,0.001,0
D7_g_B999,0.017754294547593287,0.001,0
D7_g_B999,0.017761316087421843,0.001,0
D7_g_B999,0.0177683376272504,0.001,0
D7_g_B999,0.01777535916707896,0.001,0
D7_g_B999,0.017782380706907516,0.001,0
D7_g_B999,0.017789402246736072,0.001,0
D7_g_B999,0.01779642378656463,0.001,0
D7_g_B999,0.017803445326393188,0.001,0
D7_g_B999,0.017810466866221744,0.001,0
D7_g_B999,0.017817488406050304,0.001,0
D7_g_B999,0.01782450994587886,0.001,0
D7_g_B999,0.017831531485707416,0.001,0
D7_g_B999,0.017838553025535976,0.001,0
D7_g_B999,0.017845574565364532,0.001,0
D7_g_B999,0.01785259610519309,0.001,0
D7_g_B999,0.01785961764502165,0.001,0
D7_g_B999,0.017866639184850205,0.001,0
D7_g_B999,0.01787366072467876,0.001,0
D7_g_B999,0.01788068226450732,0.001,0
D7_g_B999,0.017887703804335877,0.001,0
D7_g_B999,0.017894725344164433,0.001,0
D7_g_B999,0.017901746883992993,0.001,0
D7_g_B999,0.01790876842382155,0.001,0
D7_g_B999,0.017915789963650106,0.001,0
D7_g_B999,0.017922811503478665,0.001,0
D7_g_B999,0.01792983304330722,0.001,0
D7_g_B999,0.01793685458313578,0.001,0
D7_g_B999,0.017943876122964338,0.001,0
D7_g_B999,0.017950897662792894,0.001,0
D7_g_B999,0.017957919202621454,0.001,0
D7_g_B999,0.01796494074245001,0.001,0
D7_g_B999,0.017971962282278566,0.001,0
D7_g_B999,0.017978983822107126,0.001,0
D7_g_B999,0.017986005361935682,0.001,0
D7_g_B999,0.01799302690176424,0.001,0
D7_g_B999,0.018000048441592798,0.001,0
D7_g_B999,0.018007069981421354,0.001,0
D7_g_B999,0.01801409152124991,0.001,0
D7_g_B999,0.01802111306107847,0.001,0
D7_g_B999,0.018028134600907027,0.001,0
D7_g_B999,0.018035156140735583,0.001,0
D7_g_B999,0.018042177680564143,0.001,0
D7_g_B999,0.0180491992203927,0.001,0
D7_g_B999,0.01805622076022126,0.001,0
D7_g_B999,0.018063242300049815,0.001,0
D7_g_B999,0.01807026383987837,0.001,0
D7_g_B999,0.01807728537970693,0.001,0
D7_g_B999,0.018084306919535487,0.001,0
D7_g_B999,0.018091328459364044,0.001,0
D7_g_B999,0.018098349999192603,0.001,0
D7_g_B999,0.01810537153902116,0.001,0
D7_g_B999,0.018112393078849716,0.001,0
D7_g_B999,0.018119414618678276,0.001,0
D7_g_B999,0.018126436158506832,0.001,0
D7_g_B999,0.018133457698335388,0.001,0
D7_g_B999,0.018140479238163948,0.001,0
D7_g_B999,0.018147500777992504,0.001,0
D7_g_B999,0.01815452231782106,0.001,0
D7_g_B999,0.01816154385764962,0.001,0
D7_g_B999,0.018168565397478176,0.001,0
D7_g_B999,0.018175586937306733,0.001,0
D7_g_B999,0.018182608477135292,0.001,0
D7_g_B999,0.01818963001696385,0.001,0
D7_g_B999,0.018196651556792405,0.001,0
D7_g_B999,0.018203673096620965,0.001,0
D7_g_B999,0.01821069463644952,0.001,0
D7_g_B999,0.018217716176278077,0.001,0
D7_g_B999,0.018224737716106637,0.001,0
D7_g_B999,0.018231759255935193,0.001,0
D7_g_B999,0.01823878079576375,0.001,0
D7_g_B999,0.01824580233559231,0.001,0
D7_g_B999,0.018252823875420866,0.001,0
D7_g_B999,0.018259845415249422,0.001,0
D7_g_B999,0.01826686695507798,0.001,0
D7_g_B999,0.018273888494906538,0.001,0
D7_g_B999,0.018280910034735094,0.001,0
D7_g_B999,0.018287931574563654,0.001,0
D7_g_B999,0.01829495311439221,0.001,0
D7_g_B999,0.01830197465422077,0.001,0
D7_g_B999,0.018308996194049326,0.001,0
D7_g_B999,0.018316017733877882,0.001,0
D7_g_B999,0.018323039273706442,0.001,0
D7_g_B999,0.018330060813535,0.001,0
D7_g_B999,0.018337082353363555,0.001,0
D7_g_B999,0.018344103893192115,0.001,0
D7_g_B999,0.01835112543302067,0.001,0
D7_g_B999,0.018358146972849227,0.001,0
D7_g_B999,0.018365168512677787,0.001,0
D7_g_B999,0.018372190052506343,0.001,0
D7_g_B999,0.0183792115923349,0.001,0
D7_g_B999,0.01838623313216346,0.001,0
D7_g_B999,0.018393254671992015,0.001,0
D7_g_B999,0.018400276211820575,0.001,0
D7_g_B999,0.01840729775164913,0.001,0
D7_g_B999,0.018414319291477688,0.001,0
D7_g_B999,0.018421340831306247,0.001,0
D7_g_B999,0.018428362371134804,0.001,0
D7_g_B999,0.01843538391096336,0.001,0
D7_g_B999,0.01844240545079192,0.001,0
D7_g_B999,0.018449426990620476,0.001,0
D7_g_B999,0.018456448530449032,0.001,0
D7_g_B999,0.018463470070277592,0.001,0
D7_g_B999,0.018470491610106148,0.001,0
D7_g_B999,0.018477513149934705,0.001,0
D7_g_B999,0.018484534689763264,0.001,0
D7_g_B999,0.01849155622959182,0.001,0
D7_g_B999,0.018498577769420377,0.001,0
D7_g_B999,0.018505599309248937,0.001,0
D7_g_B999,0.018512620849077493,0.001,0
D7_g_B999,0.01851964238890605,0.001,0
D7_g_B999,0.01852666392873461,0.001,0
D7_g_B999,0.018533685468563165,0.001,0
D7_g_B999,0.01854070700839172,0.001,0
D7_g_B999,0.01854772854822028,0.001,0
